time_tick,acc_X_value,acc_Y_value,acc_Z_value
3187386246949,0.047851563,-0.08731079,9.613617
3187386246954,0.09069824,-0.07064819,9.482697
3187386246959,0.047851563,-0.03970337,9.325592
3187386246965,0.050231934,-0.07778931,9.392242
3187386246969,0.024047852,-0.07778931,9.50412
3187386246974,0.0692749,-0.073028564,9.625519
3187386246979,0.06689453,-0.046844482,9.50412
3187386246984,0.031188965,-0.06112671,9.520782
3187386246989,0.005004883,-0.037322998,9.411285
3187386246994,0.031188965,-0.04446411,9.487457
3187386246999,0.028808594,-0.094451904,9.387482
3187386247004,0.009765625,-0.07064819,9.539825
3187386247009,0.014526367,-0.06588745,9.589813
3187386247014,-0.009277344,-0.115875244,9.487457
3187386247019,0.01928711,-0.08493042,9.487457
3187386247024,0.06451416,-0.08255005,9.466034
3187386247029,2.4414063E-4,-0.09921265,9.446991
3187386247034,0.06213379,-0.06826782,9.542206
3187386247038,0.057373047,-0.10635376,9.50412
3187386247044,0.08117676,-0.08493042,9.520782
3187386247049,0.0692749,-0.051605225,9.482697
3187386247053,0.08831787,-0.06350708,9.485077
3187386247059,0.08117676,-0.027801514,9.485077
3187386247063,0.11450195,-0.04446411,9.473175
3187386247069,0.057373047,-0.03970337,9.499359
3187386247073,0.06451416,-0.051605225,9.530304
3187386247078,0.07165527,-0.01828003,9.456512
3187386247083,0.07879639,-0.07064819,9.492218
3187386247088,0.0692749,-0.056365967,9.530304
3187386247093,0.054992676,-0.058746338,9.518402
3187386247098,0.06213379,-0.08016968,9.5017395
3187386247103,0.059753418,-0.08731079,9.466034
3187386247108,0.033569336,-0.118255615,9.539825
3187386247113,0.031188965,-0.08731079,9.516022
3187386247118,0.005004883,-0.094451904,9.5065
3187386247123,0.005004883,-0.15158081,9.473175
3187386247128,-0.014038086,-0.13253784,9.5017395
3187386247132,0.02166748,-0.14920044,9.446991
3187386247137,0.014526367,-0.13015747,9.494598
3187386247143,0.076416016,-0.15158081,9.499359
3187386247147,0.016906738,-0.13729858,9.518402
3187386247153,0.06213379,-0.11349487,9.425568
3187386247157,0.04309082,-0.10397339,9.75882
3187386247162,0.04071045,-0.13015747,9.347015
3187386247168,0.095458984,-0.015899658,9.554108
3187386247172,0.12402344,-0.08493042,9.4184265
3187386247177,0.1026001,-0.025421143,9.499359
3187386247182,0.10736084,-0.0206604,9.592194
3187386247187,0.08831787,-0.06826782,9.475555
3187386247192,0.074035645,-0.046844482,9.470795
3187386247197,2.4414063E-4,0.010284424,9.401764
3187386247202,0.024047852,-0.008758545,9.389862
3187386247207,0.054992676,-0.0206604,9.470795
3187386247212,-0.009277344,-0.07064819,9.485077
3187386247217,-0.030700684,-0.032562256,9.475555
3187386247221,-0.037841797,-0.027801514,9.466034
3187386247227,0.024047852,-0.0039978027,9.399384
3187386247232,1.4475098,0.27450562,8.899506
3187386247237,3.63031,0.88150024,8.621002
3187386247241,7.688843,9.826935,9.830231
3187386247246,4.5705566,6.9443054,10.922821
3187386247252,1.6069946,3.4737244,10.741913
3187386247256,0.18829346,2.040741,10.687164
3187386247262,-0.3925171,1.2052307,9.563629
3187386247266,1.923584,3.266632,9.665985
3187386247272,-0.41394043,-1.3512878,6.7048035
3187386247276,-0.38775635,-2.301056,10.687164
3187386247281,-0.11401367,-3.2817688,10.894257
3187386247287,0.8095703,-3.5388489,8.8638
3187386247291,0.9071655,-4.0506287,9.082794
3187386247296,-0.061645508,-4.457672,10.244415
3187386247301,-1.1185303,-4.3434143,9.958771
3187386247306,-2.5419922,-4.105377,9.273224
3187386247311,-3.901184,-3.905426,9.723114
3187386247315,-5.419861,-4.212494,9.973053
3187386247320,-6.0792236,-4.4600525,9.344635
3187386247326,-5.427002,-4.483856,8.6091
3187386247331,-4.4177246,-3.8625793,9.035187
3187386247336,-3.4941406,-2.898529,9.44223
3187386247340,-2.4491577,-2.2867737,9.480316
3187386247345,-1.7112427,-2.0368347,9.254181
3187386247350,-1.4993896,-1.9963684,8.939972
3187386247355,-1.5993652,-2.0273132,9.18277
3187386247360,-1.5969849,-1.9130554,9.087555
3187386247365,-1.2637329,-1.679779,9.604095
3187386247370,-0.828125,-1.9273376,8.592438
3187386247376,-0.123535156,-2.1249084,8.085419
3187386247381,0.14544678,-2.436737,8.73526
3187386247385,0.16448975,-3.0675354,9.544586
3187386247390,-1.142334,-3.22464,11.970184
3187386247395,5.3584595,0.18643188,17.985382
3187386247400,7.369873,-0.6300354,9.020905
3187386247405,9.5407715,-0.29916382,11.360809
3187386247409,6.689087,-3.5483704,9.661224
3187386247415,2.968567,-7.625946,9.380341
3187386247420,1.1237793,-9.163666,9.368439
3187386247425,0.8262329,-7.554535,9.730255
3187386247430,0.54296875,-5.8311462,9.449371
3187386247434,-0.17828369,-4.7242737,9.5850525
3187386247440,-0.5900879,-3.5245667,9.475555
3187386247445,-1.3494263,-2.6842957,9.8159485
3187386247449,-2.4348755,-2.5176697,8.675751
3187386247454,-3.4298706,-1.6131287,9.625519
3187386247460,-4.0582886,-2.2034607,10.0278015
3187386247464,-3.3822632,-2.4129333,10.1111145
3187386247469,-2.9918823,-3.905426,10.475311
3187386247475,-2.3920288,-4.50766,9.487457
3187386247479,-2.3491821,-6.009674,8.078278
3187386247484,-1.4160767,-5.5502625,8.518646
3187386247489,-0.86621094,-5.1789246,10.158722
3187386247494,-0.60198975,-4.707611,9.408905
3187386247499,0.94525146,-2.641449,9.130402
3187386247504,3.0756836,-0.18728638,10.108734
3187386247509,2.7995605,-0.4562683,10.334869
3187386247513,1.0142822,-2.9866028,9.016144
3187386247518,0.49536133,-3.86734,8.225861
3187386247523,0.26922607,-4.417206,8.249664
3187386247528,0.64056396,-3.7983093,8.4496155
3187386247533,0.8357544,-2.762848,9.301788
3187386247539,0.17401123,-3.058014,9.444611
3187386247543,-0.95428467,-4.0934753,9.001862
3187386247548,-0.94714355,-3.9577942,8.768585
3187386247553,0.19781494,-2.2320251,9.332733
3187386247558,0.159729,-2.2129822,8.580536
3187386247564,0.28588867,-1.9797058,9.7612
3187386247569,1.4403687,-0.18966675,10.763336
3187386247573,-0.121154785,-2.0725403,10.14682
3187386247578,0.685791,-0.8537903,9.078033
3187386247583,0.45013428,-0.88235474,9.339874
3187386247588,0.73339844,-0.5467224,9.975433
3187386247592,0.5858154,-0.7538147,10.482452
3187386247598,1.5712891,-0.07778931,11.018036
3187386247602,2.4520264,0.53634644,11.715485
3187386247608,2.801941,0.57681274,12.972321
3187386247612,1.5189209,-0.40390015,12.332001
3187386247618,0.3501587,-1.486969,11.379852
3187386247623,0.005004883,-1.8630676,11.206085
3187386247627,-0.2854004,-2.2843933,11.10849
