time_tick,acc_X_value,acc_Y_value,acc_Z_value
3187381852787,0.11450195,-0.08016968,9.789764
3187381852793,0.12640381,-0.09207153,9.575531
3187381852798,0.097839355,-0.056365967,9.344635
3187381852803,0.06689453,-0.09207153,9.244659
3187381852808,0.06689453,-0.037322998,9.389862
3187381852813,0.050231934,-0.06350708,9.470795
3187381852818,0.035949707,-0.058746338,9.611237
3187381852823,0.054992676,-0.115875244,9.639801
3187381852827,0.035949707,-0.11349487,9.539825
3187381852833,-0.016418457,-0.115875244,9.432709
3187381852837,2.4414063E-4,-0.08493042,9.44223
3187381852847,2.4414063E-4,-0.12063599,9.444611
3187381852852,0.024047852,-0.08731079,9.527924
3187381852857,-0.0021362305,-0.10159302,9.518402
3187381852862,0.026428223,-0.09921265,9.518402
3187381852867,0.028808594,-0.049224854,9.454132
3187381852872,0.04309082,-0.049224854,9.406525
3187381852877,0.031188965,-0.023040771,9.446991
3187381852882,0.059753418,-0.049224854,9.463654
3187381852886,0.06451416,-0.075408936,9.539825
3187381852892,0.052612305,-0.006378174,9.539825
3187381852896,0.10974121,-0.027801514,9.494598
3187381852902,0.10974121,-0.025421143,9.5065
3187381852907,0.074035645,-0.04208374,9.44223
3187381852912,0.08117676,-0.056365967,9.451752
3187381852917,0.08355713,-0.04446411,9.461273
3187381852921,0.09307861,-0.008758545,9.461273
3187381852926,0.074035645,-0.046844482,9.5660095
3187381852932,0.095458984,-0.046844482,9.477936
3187381852936,0.052612305,-0.08969116,9.518402
3187381852941,0.026428223,-0.06826782,9.487457
3187381852946,0.035949707,-0.08969116,9.480316
3187381852951,0.050231934,-0.096832275,9.518402
3187381852957,0.02166748,-0.06112671,9.480316
3187381852961,-0.009277344,-0.10159302,9.494598
3187381852966,-0.033081055,-0.12301636,9.539825
3187381852971,0.016906738,-0.094451904,9.463654
3187381852975,-0.0021362305,-0.10873413,9.43985
3187381852980,-0.0211792,-0.13253784,9.444611
3187381852986,-0.014038086,-0.13491821,9.496979
3187381852990,-0.0211792,-0.08016968,9.4374695
3187381852996,0.04309082,-0.08493042,9.468414
3187381853000,-0.018798828,-0.053985596,9.496979
3187381853006,0.01928711,-0.08731079,9.480316
3187381853011,0.035949707,-0.023040771,9.380341
3187381853015,0.047851563,-0.0206604,9.620758
3187381853021,0.08831787,-0.023040771,9.518402
3187381853026,0.06213379,-0.032562256,9.397003
3187381853030,0.07165527,-0.046844482,9.596954
3187381853036,0.08831787,-0.008758545,9.485077
3187381853040,0.057373047,-0.030181885,9.482697
3187381853045,0.04071045,-0.03970337,9.4184265
3187381853050,0.059753418,0.012664795,9.661224
3187381853055,0.057373047,-0.08969116,9.366058
3187381853060,0.09069824,-0.075408936,9.370819
3187381853065,0.052612305,-0.015899658,9.596954
3187381853070,0.057373047,-0.08731079,9.477936
3187381853075,0.035949707,-0.115875244,9.444611
3187381853080,0.047851563,-0.12063599,9.461273
3187381853085,0.04547119,-0.094451904,9.573151
3187381853089,0.02166748,-0.13015747,9.408905
3187381853095,0.024047852,-0.10873413,9.404144
3187381853100,0.038330078,-0.075408936,9.57077
3187381853105,0.005004883,-0.1111145,9.475555
3187381853110,0.012145996,-0.06588745,9.454132
3187381853115,-0.0211792,-0.08493042,9.604095
3187381853120,0.06213379,-0.06826782,10.008759
3187381853125,-0.118774414,-0.051605225,9.854034
3187381853129,0.23114014,0.012664795,8.373444
3187381853134,-0.08068848,-0.027801514,8.373444
3187381853140,0.11450195,-0.08493042,10.46817
3187381853145,0.09069824,-0.056365967,10.237274
3187381853149,0.14544678,-0.058746338,9.808807
3187381853155,0.46203613,0.038848877,9.063751
3187381853159,0.67626953,0.07217407,9.356537
3187381853164,0.788147,0.20785522,9.875458
3187381853169,0.93096924,-0.15872192,10.358673
3187381853174,0.04547119,-0.12063599,10.037323
3187381853179,-0.8209839,-0.3253479,9.477936
3187381853184,-1.6350708,-0.4657898,9.2065735
3187381853189,-0.06878662,-0.14920044,9.011383
3187381853194,-0.39489746,-0.44436646,10.134918
3187381853199,-1.24469,-1.4941101,9.811188
3187381853204,-1.6564941,-2.2225037,8.844757
3187381853209,-1.2994385,-2.0154114,8.778107
3187381853214,-0.74243164,-1.3655701,8.711456
3187381853218,-0.19970703,-0.71810913,8.847137
3187381853223,0.33825684,-0.15396118,8.920929
3187381853229,0.54296875,0.08883667,9.0589905
3187381853233,0.4882202,0.09359741,7.4998474
3187381853238,-1.1280518,-0.5086365,7.3022766
3187381853243,-2.0325928,-1.2632141,5.1861267
3187381853248,-0.7805176,-1.1799011,4.650543
3187381853254,15.94873,12.052582,19.38028
3187381853258,-0.3496704,-1.6202698,5.8074036
3187381853263,0.28588867,-2.5628967,4.0173645
3187381853268,0.78338623,-0.8276062,14.555267
3187381853273,0.9523926,-1.4179382,15.526459
3187381853278,1.4379883,-3.2651062,10.91568
3187381853283,1.4594116,-3.686432,8.15683
3187381853288,1.2666016,-4.231537,8.499603
3187381853293,1.4522705,-4.714752,9.351776
3187381853298,1.3023071,-5.412201,9.742157
3187381853303,0.46203613,-5.283661,17.33554
3187381853307,-1.0066528,-6.228668,14.148224
3187381853313,-1.8255005,-4.57193,11.993988
3187381853318,-1.5303345,-6.309601,8.663849
3187381853322,-2.5039063,-5.0884705,12.270111
3187381853327,-2.8728638,-5.195587,8.142548
3187381853332,-3.3417969,-4.8456726,9.258942
3187381853337,-3.072815,-3.648346,11.156097
3187381853342,-2.3396606,-2.596222,11.082306
3187381853347,-2.3920288,-4.752838,7.035675
3187381853352,-1.8112183,-5.8335266,6.143036
3187381853357,-1.187561,-6.726166,7.266571
3187381853362,-0.48773193,-6.4548035,8.518646
3187381853367,-0.20446777,-6.6595154,8.621002
3187381853372,0.63342285,-5.5645447,9.1185
3187381853377,1.4879761,-4.3267517,9.475555
3187381853382,1.6712646,-4.321991,9.294647
3187381853387,1.7045898,-4.386261,8.832855
3187381853392,1.3856201,-4.9742126,8.325836
3187381853397,1.2213745,-4.733795,8.197296
3187381853402,1.0571289,-4.393402,8.266327
3187381853407,0.31445313,-4.9718323,8.409149
3187381853412,-0.32110596,-5.2312927,8.687653
3187381853417,-0.9257202,-5.431244,9.075653
3187381853422,-1.3851318,-5.702606,8.456757
3187381853427,-1.7088623,-6.162018,8.268707
3187381853432,-1.5588989,-5.9096985,8.525787
3187381853436,-1.4494019,-6.228668,8.063995
3187381853442,-1.3565674,-6.5381165,7.433197
3187381853446,-0.680542,-5.8644714,7.383209
3187381853451,-0.2020874,-5.6216736,7.8283386
3187381853456,0.15734863,-5.5455017,7.4236755
3187381853461,0.67388916,-5.528839,7.990204
3187381853466,1.4475098,-5.067047,7.9354553
3187381853471,1.5379639,-5.638336,7.1975403
3187381853476,1.3308716,-6.221527,7.799774
3187381853481,1.821228,-5.1789246,9.658844
3187381853486,1.5712891,-4.771881,8.601959
