"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.914682500E-1,1.646930818E-3,-3.328233492E-3,7.339894073E-4,3.785268781E-3
7.013852500E-1,-1.670569181E-3,-6.921370514E-3,9.132201085E-4,7.178449843E-3
7.113022500E-1,9.233918972E-4,-2.065951703E-3,-1.014180481E-3,2.479792549E-3
7.212182500E-1,9.478931315E-4,-6.976196310E-4,1.872952445E-3,2.212041003E-3
7.311352500E-1,4.199249670E-4,9.017742705E-4,1.389534678E-3,1.708900358E-3
7.410522500E-1,-8.802302182E-4,2.320972970E-3,-7.836046279E-4,2.603028424E-3
7.509692500E-1,-3.866013139E-4,2.583046211E-3,1.888808678E-3,3.223226105E-3
7.608862500E-1,-3.893185407E-3,2.423789119E-3,9.748117300E-4,4.688486346E-3
7.708022500E-1,1.543788239E-4,-4.486964084E-3,1.714952290E-3,4.806010910E-3
7.807192500E-1,8.124457672E-4,-4.064687528E-4,-3.481985768E-4,9.728963051E-4
7.906362500E-1,3.442550078E-4,-8.074640064E-4,-2.374293981E-4,9.093307160E-4
8.005532500E-1,7.812795229E-4,-1.794165117E-3,-1.578330994E-3,2.514071376E-3
8.104692500E-1,-2.776091918E-3,2.519090194E-4,-4.118453944E-4,2.817758173E-3
8.203862500E-1,-7.555512711E-4,2.252475824E-3,-7.908131811E-4,2.503974950E-3
8.303032500E-1,-2.060140483E-3,4.770910367E-3,7.695355453E-4,5.253375058E-3
8.402202500E-1,-2.978132106E-3,1.748269424E-4,-4.592470359E-4,3.018400759E-3
8.501372500E-1,-2.189317718E-3,-1.198481536E-3,2.882038243E-4,2.512475175E-3
8.600532500E-1,3.028081264E-3,-1.358004753E-3,-6.010256475E-4,3.372637674E-3
8.699702500E-1,-3.233281896E-4,3.779518884E-4,-6.665502442E-4,8.316717959E-4
8.798872500E-1,4.580430686E-4,-2.040464664E-3,-1.102509676E-3,2.364070025E-3
8.898042500E-1,-3.059301525E-4,-1.771592069E-4,-1.089714002E-3,1.145624393E-3
8.997212500E-1,1.880861819E-4,3.674572799E-4,1.523646060E-3,1.578574858E-3
9.096372500E-1,2.368882764E-3,2.976238262E-3,-6.339873653E-5,3.804421000E-3
9.195542500E-1,-3.326274455E-4,3.113923594E-3,1.398676657E-3,3.429789725E-3
9.294712500E-1,-3.316641785E-3,7.158748340E-4,1.946803997E-3,3.911858294E-3
9.393882500E-1,3.129802644E-4,8.453044575E-4,-8.609666256E-4,1.246499018E-3
9.493052500E-1,6.624497473E-6,-1.993241720E-3,5.266342778E-4,2.061649849E-3
9.592212500E-1,-9.049754590E-4,-1.188168186E-3,1.045151614E-3,1.822927896E-3
9.691382500E-1,1.273569185E-3,6.525760982E-4,6.898683496E-4,1.588632234E-3
9.790552500E-1,1.139878761E-3,1.643005526E-3,-5.146794720E-4,2.064869416E-3
9.889722500E-1,9.668804705E-5,2.217950998E-3,-8.040871471E-4,2.361188546E-3
9.988892500E-1,-1.225039363E-3,-1.398355351E-3,1.468388131E-3,2.369025713E-3
1.008805250E0,-3.931739368E-3,-3.088567639E-3,-1.162353903E-3,5.133117095E-3
1.018722250E0,-6.310176104E-4,-3.312805900E-3,5.337910261E-5,3.372790460E-3
1.028639250E0,1.966688782E-3,-3.989920020E-3,-1.503681415E-3,4.695570714E-3
1.038556250E0,2.843700349E-4,-3.594174050E-3,2.677215263E-3,4.490705399E-3
1.048473250E0,1.743688248E-3,2.208970953E-3,4.765242338E-4,2.854308449E-3
1.058390250E0,1.279232558E-3,1.319741365E-3,1.718622632E-3,2.516310187E-3
1.068306250E0,5.872282200E-4,8.742052596E-4,1.265585190E-3,1.646443953E-3
1.078223250E0,1.070325263E-3,1.769559924E-3,2.758553252E-3,3.447688288E-3
1.088140250E0,-3.880076110E-4,1.035773894E-3,1.058770576E-3,1.531134416E-3
1.098057250E0,-4.083409905E-3,-7.685177261E-4,-4.017069004E-4,4.174472947E-3
1.107974250E0,-5.215480924E-4,-1.212722505E-3,-3.235226963E-3,3.494195442E-3
1.117890250E0,-6.925230846E-4,3.785162698E-4,2.752358327E-3,2.863274201E-3
1.127807250E0,-4.828842357E-4,-2.208544174E-3,1.747872448E-4,2.267464473E-3
1.137724250E0,-1.521517523E-3,-4.958653590E-4,1.393183367E-3,2.121758215E-3
1.147641667E0,3.987457603E-5,1.729111886E-3,-1.846340834E-3,2.529899676E-3
1.157558667E0,-3.136744723E-3,-1.038178685E-3,3.120987210E-3,4.545057052E-3
1.167474667E0,1.282469835E-3,-1.107974793E-3,2.017094521E-3,2.634579155E-3
1.177391667E0,1.202308573E-3,1.608982217E-3,-9.505858179E-5,2.010822173E-3
1.187308667E0,-1.459978521E-4,-1.455247868E-3,-3.543199971E-3,3.833187677E-3
1.197225667E0,-3.438713029E-4,-4.725415492E-4,-7.940188516E-4,9.859051300E-4
1.207142667E0,-1.376507804E-3,-9.209082928E-4,-2.694632858E-4,1.677932144E-3
1.217058667E0,-1.493236050E-4,6.442314480E-4,-1.899317838E-3,2.011153885E-3
1.226975667E0,-3.698281944E-4,3.000622615E-3,-1.545304083E-3,3.395360611E-3
1.236892667E0,-1.337088645E-3,-1.030071639E-3,1.356209861E-3,2.165215650E-3
1.246809667E0,-3.108866513E-4,2.589577343E-4,-5.355544388E-3,5.370806766E-3
1.256726667E0,7.780804299E-4,-3.190901130E-3,1.197696081E-3,3.495959823E-3
1.266643667E0,2.780506853E-3,6.858219858E-4,-1.897252630E-3,3.435278402E-3
1.276559667E0,4.011392593E-5,1.209655311E-4,-2.263854258E-4,2.597925091E-4
1.286476667E0,2.104419749E-3,-1.248982502E-3,8.034044877E-4,2.575654973E-3
1.296393667E0,-1.454629004E-3,1.513514435E-3,-1.082113478E-3,2.361703001E-3
1.306310667E0,2.021649852E-4,6.738088559E-4,2.989850938E-3,3.071497630E-3
1.316227667E0,7.427865639E-4,1.241324935E-4,5.426724674E-4,9.282425127E-4
1.326143667E0,9.838910773E-4,2.841667738E-4,1.889236504E-3,2.148954857E-3
1.336060667E0,-1.601506025E-3,-3.235466778E-3,-6.953614065E-4,3.676492120E-3
1.345977667E0,7.491591386E-4,4.792602267E-4,-8.278398309E-5,8.931869725E-4
1.355894667E0,-1.985641196E-3,-5.110181868E-3,-8.018374210E-4,5.540728556E-3
1.365811667E0,-1.850631088E-5,-2.086173045E-4,-8.739659679E-4,8.987102850E-4
1.375728667E0,-8.390266448E-4,1.215375029E-3,-6.969133392E-5,1.478498919E-3
1.385644667E0,1.679301728E-3,1.955056796E-3,1.056175330E-3,2.785284132E-3
1.395561667E0,1.150930300E-3,1.351051731E-3,-9.672943852E-4,2.021296555E-3
1.405478667E0,4.612398334E-4,-1.281358302E-3,2.300657099E-3,2.673507877E-3
1.415395667E0,1.187217887E-3,-4.086199217E-3,9.517658036E-4,4.360317476E-3
1.425312667E0,6.525563076E-4,-2.210042439E-3,8.761155186E-4,2.465298303E-3
1.435228667E0,-1.737098210E-3,-4.227951868E-4,-7.891589776E-4,1.954235874E-3
1.445145667E0,-2.395033836E-3,-6.609330885E-4,-1.836652402E-3,3.089710613E-3
1.455062667E0,2.255111933E-3,1.735112863E-3,-7.498163031E-4,2.942510996E-3
1.464979667E0,-2.155018039E-3,-5.945814773E-4,-1.820922713E-3,2.883294887E-3
1.474896667E0,-3.067417070E-3,-7.873943541E-4,2.343462314E-3,3.939651377E-3
1.484813667E0,-1.121266745E-3,-7.414737483E-4,-3.846714972E-4,1.398211212E-3
1.494729667E0,1.969597768E-3,1.769620692E-3,9.869225323E-5,2.649643924E-3
1.504646667E0,1.879042480E-3,-1.736524282E-4,-2.178537892E-3,2.882183748E-3
1.514563667E0,4.265541211E-4,1.882307930E-3,1.052941894E-3,2.198571853E-3
1.524480667E0,2.387552056E-3,4.579646513E-3,-5.706818774E-4,5.196079754E-3
1.534397667E0,-2.838369459E-3,7.758536376E-4,9.939251468E-4,3.105829559E-3
1.544314667E0,-1.752013341E-3,-2.126020845E-4,-1.053730375E-3,2.055504341E-3
1.554230667E0,1.657288522E-4,-2.340201521E-3,8.503731806E-5,2.347603152E-3
1.564147667E0,-4.192022607E-4,-1.023040270E-3,3.199679777E-4,1.150965436E-3
1.574064667E0,-5.435720086E-4,1.063546399E-3,-7.466280367E-4,1.408564836E-3
1.583981667E0,-1.489280723E-3,3.143537324E-3,-1.256313408E-4,3.480742336E-3
1.593898667E0,-1.132255420E-4,3.747009672E-3,-3.906787373E-3,5.414414935E-3
1.603814667E0,3.415606916E-4,-9.073817637E-4,-7.548218127E-5,9.724725861E-4
1.613731667E0,6.696623750E-4,-5.451919278E-4,-7.652408676E-4,1.153809135E-3
1.623648667E0,9.396695532E-4,1.324838493E-3,3.453439567E-4,1.660553628E-3
1.633565667E0,2.192845568E-4,-2.405983862E-3,-4.344296176E-4,2.454704290E-3
1.643482667E0,-6.139986217E-4,1.699047396E-3,3.556202864E-4,1.841255590E-3
1.653399667E0,2.326201648E-4,1.134990016E-3,-6.838114932E-4,1.345329936E-3
1.663315667E0,-2.556800842E-3,-1.764248125E-3,7.213789504E-4,3.189073468E-3
1.673232667E0,-1.232943498E-3,4.610891920E-4,-8.679956663E-4,1.576759141E-3
1.683149667E0,1.071254257E-3,5.984320305E-4,2.749112900E-3,3.010536218E-3
1.693066667E0,5.197133869E-4,-5.821472732E-4,1.171988668E-3,1.408032276E-3
1.702983667E0,-5.664313212E-4,-1.094963169E-3,-6.160337944E-4,1.378146008E-3
1.712900667E0,-3.891121596E-3,-1.187907532E-3,-2.912477590E-3,5.003446541E-3
1.722816667E0,-1.455796883E-3,-2.494963584E-3,-1.882729353E-3,3.448022284E-3
1.732733667E0,-2.199350856E-3,1.100303838E-3,-7.173300255E-4,2.561713312E-3
1.742650667E0,-2.680996433E-3,1.967597054E-3,-2.689145738E-3,4.276761022E-3
1.752567667E0,-1.140357926E-3,-1.323803561E-3,-1.300040982E-3,2.177838062E-3
1.762484667E0,-4.528369755E-4,8.208418731E-4,2.476919908E-4,9.696360293E-4
1.772401667E0,-8.158255368E-4,9.007367771E-4,-2.361939522E-3,2.656248549E-3
1.782317667E0,-8.631907403E-4,-4.256903194E-4,-1.207820605E-3,1.544390209E-3
1.792234667E0,2.152838744E-3,-2.967932960E-4,9.836945683E-4,2.385467653E-3
1.802151667E0,-4.246272147E-4,-4.643324064E-4,1.541827805E-3,1.665276504E-3
1.812068667E0,-2.112804912E-3,-1.367635559E-4,-6.616716273E-4,2.218210587E-3
1.821985667E0,7.340004668E-4,5.416597705E-4,1.028957311E-3,1.375101865E-3
1.831902667E0,-2.918485552E-4,1.845543506E-3,-1.584668877E-3,2.449975889E-3
1.841818667E0,-2.593947574E-4,9.574817959E-4,-2.168041188E-3,2.384210482E-3
1.851735667E0,-7.571391761E-4,-1.117773354E-4,-5.285993684E-4,9.301457934E-4
1.861652667E0,-1.948948018E-3,-4.421920748E-4,-2.344488399E-3,3.080674936E-3
1.871569667E0,-1.648543403E-3,1.502714353E-3,4.630160984E-4,2.278207559E-3
1.881486667E0,-1.366505399E-3,-2.137345029E-3,-1.544353319E-3,2.969950834E-3
1.891403667E0,9.392593056E-4,2.505077515E-3,-1.139020314E-3,2.907746322E-3
1.901319667E0,-1.570982859E-3,-1.195934601E-4,-1.055351342E-3,1.896327027E-3
1.911236667E0,6.865789182E-4,2.186279744E-4,-2.364292741E-4,7.583453064E-4
1.921153667E0,2.091151662E-3,-1.218086109E-3,-3.859022399E-4,2.450626365E-3
1.931070667E0,-9.222151712E-4,-3.173378995E-3,1.318254624E-3,3.557894085E-3
1.940987667E0,-3.154389560E-5,2.643422922E-3,-1.793058007E-3,3.194328846E-3
1.950904667E0,-1.571384259E-3,3.959811293E-4,1.253598370E-3,2.048794381E-3
1.960820667E0,-8.832374588E-4,-1.216988312E-4,-2.506993478E-4,9.261582894E-4
1.970737667E0,1.064331736E-3,3.406258766E-4,5.583046004E-5,1.118903514E-3
1.980654667E0,-1.390295103E-3,5.314166192E-4,3.537380835E-4,1.529854480E-3
1.990571667E0,-7.042651996E-4,-1.418304164E-4,3.586282954E-3,3.657530692E-3
2.000488667E0,-3.571212292E-4,-8.222335018E-4,9.054341353E-4,1.274132833E-3
2.010404667E0,-4.183743149E-4,-7.468427066E-5,-5.401296075E-4,6.872807291E-4
2.020321667E0,3.376416862E-5,-1.088667079E-3,-5.265367217E-4,1.209783843E-3
2.030238667E0,-4.517296329E-4,3.007040359E-4,-5.856588250E-4,7.984227187E-4
2.040155667E0,-1.359738410E-3,2.501933370E-3,-1.529919682E-4,2.851660161E-3
2.050072667E0,3.135260195E-4,1.631612424E-3,-6.810968043E-4,1.795647661E-3
2.059989667E0,2.634860575E-4,-3.479392733E-3,-6.965035573E-4,3.558189975E-3
2.069905667E0,2.108790446E-3,2.734827111E-3,-2.799851354E-4,3.464775338E-3
2.079822667E0,1.237913035E-3,2.830102807E-3,3.535847180E-3,4.695117236E-3
2.089739667E0,2.351123840E-5,9.009090718E-4,-7.675549714E-4,1.183778091E-3
2.099656667E0,2.130689099E-4,2.398539800E-4,-2.321217209E-3,2.343283513E-3
2.109573667E0,1.139315777E-3,1.349593280E-3,-4.346018657E-3,4.691196076E-3
2.119490667E0,5.367631093E-4,-5.426924909E-4,1.747146482E-3,1.906607092E-3
2.129406667E0,-2.656476572E-4,-8.915620856E-5,4.214250948E-4,5.060796556E-4
2.139323667E0,1.251785085E-3,-2.027584473E-3,-3.436502302E-4,2.407521583E-3
2.149241250E0,6.901244633E-4,1.752239885E-3,2.764258534E-3,3.344808160E-3
