"property","value"
"version","1.1.11"
"build","10011"
"fileFormat","1.15"
"deviceModel","iPhone10,2"
"deviceBrand","Apple"
"deviceBoard",""
"deviceManufacturer",""
"deviceBaseOS",""
"deviceCodename",""
"deviceRelease","15.5"
"depthFrontSensor","0"
"depthFrontResolution",""
"depthFrontRate",""
"depthBackSensor","0"
"depthBackResolution",""
"depthBackRate",""
