Accelerometer Z,Smoothed Acc Z,Intensity,
9.854242,9.81476,0.25922,
9.854242,9.81476,,
9.571291,9.81476,,
10.164711,9.81476,,
9.496515,9.81476,,
9.972089,9.81476,,
9.8937235,9.81476,,
9.52822,9.81476,,
10.183853,9.81476,,
9.54497,9.81476,,
9.896116,9.808479,,
9.984651,9.820474,,
9.489935,9.81476,,
10.173684,9.81162,,
9.578469,9.822657,,
9.81476,9.807163,,
10.036695,9.8200245,,
9.480962,9.817692,,
10.135399,9.810962,,
9.640682,9.825079,,
9.728619,9.809556,,
10.094122,9.819756,,
9.457033,9.820533,,
10.101899,9.810722,,
9.717253,9.826246,,
9.662218,9.813146,,
10.150951,9.8200245,,
9.48156,9.822477,,
10.049257,9.809795,,
9.827323,9.825797,,
9.585648,9.813893,,
10.188639,9.817632,,
9.505488,9.823942,,
9.977472,9.808868,,
9.888938,9.825319,,
9.552746,9.816016,,
10.174282,9.816166,,
9.530014,9.824122,,
9.88176,9.80833,,
9.960723,9.822119,,
9.490533,9.815957,,
10.168898,9.811141,,
9.583255,9.821012,,
9.800404,9.80501,,
10.046266,9.817632,,
9.476176,9.813594,,
10.153943,9.806147,,
9.640682,9.818619,,
9.733404,9.803335,,
10.103095,9.814491,,
9.462418,9.815239,,
10.092328,9.805877,,
9.702896,9.821161,,
9.657433,9.8082695,,
10.14138,9.815359,,
9.471989,9.81805,,
10.025329,9.806087,,
9.779466,9.822567,,
9.5760765,9.81183,,
10.183853,9.815837,,
9.505488,9.822597,,
9.98166,9.808958,,
9.888938,9.826126,,
9.542577,9.816824,,
10.188041,9.817243,,
9.530014,9.825917,,
9.91466,9.81156,,
9.970294,9.827771,,
9.518648,9.821131,,
10.183255,9.817034,,
9.597611,9.827383,,
9.819546,9.810931,,
10.046266,9.824033,,
9.47139,9.820264,,
10.1497555,9.813295,,
9.645468,9.827203,,
9.73819,9.812188,,
10.103694,9.823344,,
9.4432745,9.821969,,
10.101899,9.812607,,
9.712467,9.826724,,
9.652647,9.812906,,
10.150951,9.820264,,
9.467203,9.8231945,,
10.048658,9.811231,,
9.80818,9.826754,,
9.614362,9.814132,,
10.193424,9.816675,,
9.491131,9.822955,,
9.9960165,9.808838,,
9.879965,9.824571,,
9.543175,9.815987,,
10.193424,9.815687,,
9.530014,9.823644,,
