"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.178967083E-1,-1.005908203E-1,8.023315430E-2,9.973310394E0,9.974140369E0
6.278137083E-1,-1.179547119E-1,7.828720093E-2,9.976453857E0,9.977458282E0
6.377307083E-1,-1.272354126E-1,7.499404907E-2,9.952353973E0,9.953449782E0
6.476477083E-1,-1.279838562E-1,7.888595581E-2,9.958191833E0,9.959326657E0
6.575647083E-1,-1.124162292E-1,8.577163696E-2,9.970166931E0,9.971169581E0
6.674817083E-1,-1.016386414E-1,9.205856323E-2,9.978699188E0,9.979641410E0
6.773987083E-1,-1.122665405E-1,8.487350464E-2,9.981543274E0,9.982535420E0
6.873157083E-1,-1.074765015E-1,7.873626709E-2,9.971065063E0,9.971955129E0
6.972327083E-1,-1.155596924E-1,7.694000244E-2,9.969418488E0,9.970385087E0
7.071497083E-1,-1.221459961E-1,8.083190918E-2,9.964179382E0,9.965255852E0
7.170667083E-1,-1.149609375E-1,8.547225952E-2,9.959089966E0,9.960120204E0
7.269837083E-1,-1.103205872E-1,8.442443848E-2,9.984087982E0,9.985054379E0
7.369007083E-1,-1.200503540E-1,7.559280396E-2,9.986333313E0,9.987340957E0
7.468177083E-1,-1.200503540E-1,7.379653931E-2,9.970466309E0,9.971462101E0
7.567347083E-1,-1.200503540E-1,8.382568359E-2,9.955647125E0,9.956723784E0
7.666517083E-1,-1.194515991E-1,8.202941895E-2,9.959688721E0,9.960742790E0
7.765687083E-1,-1.077758789E-1,8.397537231E-2,9.958940277E0,9.959877456E0
7.864857083E-1,-1.052311707E-1,8.457412720E-2,9.984686737E0,9.985599412E0
7.964027083E-1,-9.789642334E-2,8.771759033E-2,9.980794830E0,9.981660359E0
8.063197083E-1,-1.160087585E-1,8.158035278E-2,9.969268799E0,9.970277517E0
8.162367083E-1,-1.242416382E-1,7.529342651E-2,9.959539032E0,9.960598517E0
8.261537083E-1,-1.321751404E-1,7.499404907E-2,9.947863312E0,9.949024015E0
8.360707083E-1,-1.196012878E-1,7.439529419E-2,9.960437164E0,9.961433011E0
8.459877083E-1,-9.774673462E-2,8.996292114E-2,9.985435181E0,9.986318816E0
8.559047083E-1,-9.924362183E-2,9.205856323E-2,9.979297943E0,9.980216005E0
8.658217083E-1,-1.047821045E-1,8.637039185E-2,9.972112885E0,9.973037377E0
8.757387083E-1,-1.149609375E-1,7.274871826E-2,9.967023468E0,9.967951906E0
8.856557083E-1,-1.221459961E-1,8.831634521E-2,9.965376892E0,9.966516745E0
8.955727083E-1,-1.242416382E-1,8.786727905E-2,9.977052612E0,9.978213040E0
9.054897083E-1,-1.073268127E-1,8.427474976E-2,9.977950745E0,9.978883822E0
9.154067083E-1,-9.924362183E-2,8.173004150E-2,9.972262573E0,9.973091292E0
9.253237083E-1,-1.067280579E-1,7.694000244E-2,9.966275024E0,9.967143448E0
9.352407083E-1,-1.178050232E-1,8.158035278E-2,9.956694946E0,9.957726027E0
9.451577083E-1,-1.252894592E-1,8.457412720E-2,9.956096191E0,9.957243675E0
9.550747083E-1,-1.181044006E-1,8.517288208E-2,9.957144012E0,9.958208672E0
9.649917083E-1,-1.139131165E-1,7.813751221E-2,9.955198059E0,9.956156390E0
9.749087083E-1,-1.143621826E-1,8.337661743E-2,9.961784363E0,9.962789673E0
9.848257083E-1,-1.047821045E-1,9.370513916E-2,9.967023468E0,9.968014685E0
