"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.102803875E0,6.358582070E-2,4.059732791E-2,1.543442738E-1,1.717948034E-1
3.112720875E0,6.684670324E-2,4.633015284E-2,1.458120167E-1,1.669613998E-1
3.122636875E0,6.161878081E-2,4.248663181E-2,1.468580836E-1,1.648310794E-1
3.132553875E0,6.636991762E-2,4.583182388E-2,1.428123951E-1,1.640149452E-1
3.142469875E0,6.564358380E-2,3.729479767E-2,1.452079993E-1,1.636622898E-1
3.152386875E0,6.222778659E-2,3.735862825E-2,1.435590845E-1,1.608638408E-1
3.162302875E0,6.208410954E-2,4.178217480E-2,1.480474073E-1,1.658861706E-1
3.172219875E0,6.362209171E-2,4.475705997E-2,1.419084156E-1,1.618300447E-1
3.182135875E0,6.645895975E-2,4.142004943E-2,1.440017188E-1,1.639173842E-1
3.192052875E0,6.157812439E-2,4.673026227E-2,1.505839294E-1,1.692663659E-1
3.201968875E0,6.111180894E-2,4.079797420E-2,1.523778552E-1,1.691689648E-1
3.211884875E0,6.296548594E-2,4.750541121E-2,1.414482397E-1,1.619537620E-1
3.221801875E0,5.691356292E-2,4.692543594E-2,1.457851195E-1,1.633843666E-1
3.231717875E0,5.842921603E-2,4.387594395E-2,1.414423925E-1,1.592012002E-1
3.241634875E0,5.879031815E-2,3.857251479E-2,1.414406383E-1,1.579544066E-1
3.251550875E0,6.108536856E-2,4.270973050E-2,1.492256212E-1,1.668047642E-1
3.261467875E0,6.221695097E-2,3.888469215E-2,1.601523131E-1,1.761582574E-1
3.271383875E0,6.691866053E-2,4.362756976E-2,1.423352623E-1,1.632200933E-1
3.281300875E0,6.216591574E-2,3.865146134E-2,1.599997008E-1,1.759501088E-1
3.291216875E0,6.823059300E-2,3.365994001E-2,1.486192650E-1,1.669613467E-1
3.301133875E0,6.952149376E-2,4.439290634E-2,1.481696141E-1,1.695824365E-1
3.311049875E0,6.075147428E-2,4.015441960E-2,1.502646714E-1,1.669808089E-1
3.320966875E0,6.349392805E-2,4.729909129E-2,1.499641246E-1,1.695816075E-1
3.330882875E0,5.914272252E-2,3.929472358E-2,1.445765001E-1,1.610723480E-1
3.340799875E0,6.037679566E-2,3.457454504E-2,1.423294151E-1,1.584248056E-1
3.350715875E0,6.233802488E-2,3.398299411E-2,1.342473936E-1,1.518658484E-1
3.360632875E0,6.578172427E-2,4.166290530E-2,1.408319432E-1,1.609244206E-1
3.370548875E0,6.280088682E-2,4.228687631E-2,1.373844248E-1,1.568649466E-1
3.380464875E0,6.248997940E-2,3.868892920E-2,1.459143430E-1,1.633793936E-1
3.390381875E0,6.417797919E-2,3.505097434E-2,1.400747287E-1,1.580136495E-1
3.400297875E0,5.823072134E-2,3.394321020E-2,1.514493173E-1,1.657704864E-1
3.410214875E0,5.244232502E-2,4.803452941E-2,1.426165134E-1,1.593643102E-1
3.420130875E0,6.045346728E-2,4.356340571E-2,1.424662399E-1,1.607763090E-1
3.430047875E0,5.908096131E-2,3.185380819E-2,1.418657309E-1,1.569430173E-1
3.439963875E0,5.875952890E-2,2.911934408E-2,1.453056479E-1,1.594187873E-1
3.449880875E0,6.009784693E-2,4.985158365E-2,1.402162313E-1,1.604915049E-1
3.459796875E0,5.802740268E-2,4.110893187E-2,1.485993844E-1,1.647388867E-1
3.469713875E0,6.315776797E-2,3.957159381E-2,1.474001205E-1,1.651714570E-1
3.479629875E0,6.302587671E-2,3.763395445E-2,1.447033846E-1,1.622579588E-1
3.489546875E0,6.019003194E-2,3.658204035E-2,1.429047811E-1,1.593199990E-1
3.499462875E0,5.545709459E-2,4.067571258E-2,1.454453963E-1,1.608861903E-1
3.509379875E0,5.487811061E-2,4.121732920E-2,1.520311153E-1,1.668050817E-1
3.519295875E0,6.266322143E-2,4.780549214E-2,1.499354732E-1,1.693891689E-1
3.529212875E0,6.250247782E-2,3.989191616E-2,1.506815779E-1,1.679370794E-1
3.539128875E0,6.266800884E-2,3.686746670E-2,1.512803328E-1,1.678458475E-1
3.549045875E0,6.928893903E-2,3.940050337E-2,1.472369832E-1,1.674278530E-1
3.558961875E0,5.922403537E-2,3.909928953E-2,1.409500569E-1,1.578073488E-1
3.568878875E0,5.320186006E-2,2.670746356E-2,1.505277961E-1,1.618713808E-1
3.578794875E0,6.036460787E-2,3.526739441E-2,1.446899360E-1,1.606949053E-1
3.588710875E0,5.585768368E-2,3.852692478E-2,1.511247969E-1,1.656596179E-1
3.598627875E0,5.987084705E-2,3.414013346E-2,1.560639399E-1,1.706048662E-1
3.608543875E0,6.011405468E-2,3.313682891E-2,1.497764289E-1,1.647565709E-1
3.618460875E0,5.786896141E-2,4.290400424E-2,1.472323054E-1,1.639113237E-1
3.628376875E0,5.952425335E-2,4.288431556E-2,1.529181379E-1,1.696058907E-1
3.638293875E0,5.847414823E-2,3.871041771E-2,1.535168928E-1,1.687754687E-1
3.648209875E0,5.564446131E-2,4.101744579E-2,1.515715241E-1,1.665913079E-1
3.658126875E0,6.288691398E-2,4.038567698E-2,1.517200434E-1,1.691293541E-1
3.668042875E0,5.273506952E-2,4.386031636E-2,1.572561872E-1,1.715640502E-1
3.677959875E0,4.986653516E-2,3.759464106E-2,1.457301557E-1,1.585474902E-1
3.687875875E0,5.537941799E-2,3.629568210E-2,1.487239301E-1,1.627976163E-1
3.697792875E0,5.518596651E-2,3.135732933E-2,1.449811274E-1,1.582665483E-1
3.707708875E0,6.078388978E-2,3.948177966E-2,1.460277790E-1,1.630263918E-1
3.717625875E0,5.837412430E-2,3.645643485E-2,1.389924091E-1,1.550983553E-1
3.727541875E0,6.359641878E-2,4.082704583E-2,1.439327216E-1,1.625668493E-1
3.737458875E0,6.414921820E-2,4.281138982E-2,1.442309296E-1,1.635557958E-1
3.747374875E0,5.489671206E-2,3.585589840E-2,1.433327973E-1,1.576184800E-1
3.757291875E0,5.873981282E-2,3.595894187E-2,1.343508893E-1,1.509754039E-1
3.767207875E0,6.263082420E-2,4.384472074E-2,1.451261383E-1,1.640322398E-1
3.777124875E0,6.201630011E-2,4.505745153E-2,1.529093671E-1,1.710481510E-1
3.787040875E0,6.259897515E-2,3.805644319E-2,1.518603766E-1,1.686075281E-1
3.796957875E0,6.318223491E-2,3.099977209E-2,1.502108771E-1,1.658803432E-1
3.806873875E0,5.496333377E-2,3.843291708E-2,1.415242535E-1,1.566115305E-1
3.816790875E0,5.419703789E-2,3.753679931E-2,1.469159710E-1,1.610299126E-1
3.826706875E0,5.532772494E-2,4.541172885E-2,1.359904486E-1,1.536775337E-1
3.836623875E0,6.763594944E-2,4.395148267E-2,1.391339117E-1,1.608247490E-1
3.846539875E0,6.391796082E-2,4.395530620E-2,1.454190838E-1,1.648159113E-1
3.856456875E0,5.529017486E-2,4.421132288E-2,1.409266680E-1,1.577084978E-1
3.866372875E0,6.140822623E-2,4.633075126E-2,1.511031622E-1,1.695572894E-1
3.876288875E0,6.264982766E-2,4.278142284E-2,1.557446820E-1,1.732387284E-1
3.886205875E0,5.010270786E-2,2.920617067E-2,1.496086138E-1,1.604556608E-1
3.896121875E0,5.808099607E-2,3.712039076E-2,1.446647930E-1,1.602473958E-1
3.906038875E0,5.609796770E-2,3.720263093E-2,1.466101617E-1,1.613243851E-1
3.915954875E0,6.648278715E-2,3.801546243E-2,1.487022954E-1,1.672647872E-1
3.925871875E0,6.485861337E-2,2.979846164E-2,1.473533428E-1,1.637302528E-1
3.935787875E0,4.871406723E-2,3.412685389E-2,1.389713591E-1,1.511646161E-1
3.945704875E0,4.599333951E-2,3.598138969E-2,1.391204631E-1,1.508792595E-1
3.955620875E0,5.894949032E-2,4.811235219E-2,1.497442693E-1,1.679678154E-1
3.965537875E0,6.640905742E-2,3.979489349E-2,1.485438359E-1,1.675084106E-1
3.975453875E0,6.143285763E-2,3.395716129E-2,1.480912614E-1,1.638844303E-1
3.985370875E0,5.922745233E-2,3.088930083E-2,1.573713773E-1,1.709613711E-1
3.995286875E0,6.196349245E-2,3.887884037E-2,1.374616081E-1,1.557136228E-1
4.005203875E0,5.272401463E-2,3.806582158E-2,1.468931669E-1,1.606438015E-1
4.015120250E0,5.416548120E-2,3.484117351E-2,1.470446098E-1,1.605301342E-1
4.025037250E0,5.831064546E-2,3.709873779E-2,1.422534013E-1,1.581533367E-1
4.034953250E0,5.781001417E-2,4.265920690E-2,1.444963932E-1,1.613722818E-1
4.044870250E0,6.047071656E-2,4.058154043E-2,1.555733585E-1,1.717749658E-1
4.054786250E0,6.017130258E-2,3.681852368E-2,1.407541752E-1,1.574418215E-1
4.064703250E0,5.737309925E-2,3.660030833E-2,1.397040153E-1,1.553977701E-1
4.074619250E0,5.224653466E-2,4.154289577E-2,1.438947147E-1,1.586228278E-1
4.084536250E0,5.512771362E-2,3.818954957E-2,1.525754911E-1,1.666636943E-1
4.094452250E0,5.680823995E-2,4.161963134E-2,1.467352921E-1,1.627593800E-1
4.104369250E0,4.731126538E-2,4.605303593E-2,1.453869241E-1,1.596765345E-1
4.114285250E0,5.442237496E-2,4.455828204E-2,1.495764542E-1,1.652886900E-1
4.124202250E0,5.214634627E-2,3.641983037E-2,1.473311234E-1,1.604746254E-1
4.134118250E0,4.856737521E-2,3.551983881E-2,1.560107303E-1,1.672118322E-1
4.144035250E0,5.805254571E-2,3.640261763E-2,1.551085049E-1,1.695697406E-1
4.153951250E0,6.438794905E-2,3.893291797E-2,1.525620425E-1,1.701080741E-1
4.163868250E0,5.608027987E-2,4.152283251E-2,1.524117690E-1,1.676260444E-1
4.173784250E0,4.962098865E-2,3.634247353E-2,1.474720412E-1,1.597842947E-1
4.183701250E0,5.437667532E-2,4.476761236E-2,1.462745315E-1,1.623490083E-1
4.193617250E0,6.349743638E-2,3.201415894E-2,1.440274465E-1,1.606260756E-1
4.203534250E0,5.299932713E-2,3.843447025E-2,1.474702871E-1,1.613493810E-1
4.213450250E0,5.693075739E-2,4.411246383E-2,1.506119961E-1,1.669460810E-1
4.223367250E0,6.060850985E-2,3.700390783E-2,1.545027333E-1,1.700405107E-1
4.233283250E0,5.773573626E-2,3.409920295E-2,1.542056948E-1,1.681534037E-1
4.243200250E0,5.622297021E-2,3.955399278E-2,1.519609487E-1,1.667863024E-1
4.253116250E0,5.322190505E-2,4.275749951E-2,1.419294655E-1,1.574952321E-1
4.263033250E0,5.705583299E-2,3.805144108E-2,1.571971303E-1,1.715057376E-1
4.272949250E0,6.093169643E-2,3.804952246E-2,1.554002810E-1,1.712007159E-1
4.282866250E0,4.934885558E-2,4.130700630E-2,1.428258437E-1,1.566550348E-1
4.292782250E0,5.260988429E-2,3.725494981E-2,1.470177126E-1,1.605301810E-1
4.302699250E0,5.771961987E-2,3.698350196E-2,1.495624208E-1,1.645243194E-1
4.312615250E0,5.360195579E-2,3.596130359E-2,1.513581008E-1,1.645468313E-1
4.322532250E0,5.591261096E-2,3.863028802E-2,1.603400087E-1,1.741477465E-1
4.332448250E0,5.490816895E-2,4.011966978E-2,1.515072048E-1,1.660690459E-1
4.342365250E0,5.919560328E-2,3.781342742E-2,1.503067714E-1,1.659099161E-1
4.352281250E0,5.051532028E-2,4.031534137E-2,1.324920595E-1,1.474152982E-1
4.362198250E0,4.562448984E-2,3.642506089E-2,1.458137709E-1,1.570669759E-1
4.372114250E0,5.203587044E-2,3.757297439E-2,1.486549330E-1,1.619189591E-1
4.382031250E0,6.246244267E-2,3.704762947E-2,1.535917372E-1,1.698955718E-1
4.391947250E0,5.566094315E-2,3.642944630E-2,1.369751197E-1,1.522741888E-1
4.401864250E0,5.490584834E-2,3.138429961E-2,1.461032081E-1,1.592035610E-1
4.411780250E0,5.429612992E-2,4.076552672E-2,1.425083399E-1,1.578560256E-1
4.421697250E0,4.767001033E-2,3.117817612E-2,1.462476343E-1,1.569486511E-1
4.431613250E0,5.198395813E-2,2.345939465E-2,1.432503515E-1,1.541860510E-1
4.441530250E0,5.493893992E-2,4.630069292E-2,1.544740820E-1,1.703651469E-1
4.451446250E0,5.680102229E-2,3.456751011E-2,1.526772326E-1,1.665280945E-1
4.461363250E0,4.694097217E-2,3.503182014E-2,1.399536914E-1,1.517159155E-1
4.471279250E0,5.529415827E-2,3.974961868E-2,1.478836852E-1,1.628098906E-1
4.481196250E0,5.547216944E-2,3.544416305E-2,1.568638390E-1,1.701167666E-1
4.491112250E0,4.765716473E-2,3.624252269E-2,1.505769128E-1,1.620436128E-1
4.501029250E0,5.953402916E-2,3.146066516E-2,1.567100573E-1,1.705641115E-1
4.510945250E0,5.879494110E-2,4.156029581E-2,1.462312621E-1,1.629959671E-1
4.520862250E0,5.349935543E-2,3.404679728E-2,1.408412987E-1,1.544591754E-1
4.530778250E0,4.748399578E-2,3.486267573E-2,1.424843663E-1,1.541814861E-1
4.540695250E0,4.834715445E-2,2.865126077E-2,1.487654454E-1,1.590267267E-1
4.550611250E0,5.265145434E-2,3.149396231E-2,1.387357163E-1,1.516958941E-1
4.560528250E0,5.028090175E-2,3.160228655E-2,1.502623326E-1,1.615724054E-1
4.570444250E0,5.340358900E-2,4.146059621E-2,1.486151719E-1,1.632709211E-1
4.580361250E0,5.162112013E-2,3.812755995E-2,1.480193406E-1,1.613325016E-1
4.590277250E0,4.769347228E-2,4.270600746E-2,1.507160765E-1,1.637492171E-1
4.600194250E0,4.997522028E-2,3.428719550E-2,1.593962681E-1,1.705294834E-1
4.610110250E0,4.894974656E-2,3.765632462E-2,1.508651805E-1,1.630164996E-1
4.620027250E0,5.357361507E-2,3.385837076E-2,1.570024180E-1,1.693111951E-1
4.629943250E0,5.587891638E-2,3.340184940E-2,1.561001927E-1,1.691313306E-1
4.639860250E0,4.809029723E-2,2.904564176E-2,1.474182469E-1,1.577607857E-1
4.649776250E0,5.168395942E-2,3.279577636E-2,1.522088706E-1,1.640558896E-1
4.659693250E0,5.178453153E-2,3.590634890E-2,1.460710484E-1,1.590837980E-1
4.669609250E0,5.419025877E-2,3.694780197E-2,1.294532615E-1,1.451201955E-1
4.679526250E0,4.810018267E-2,3.859520473E-2,1.572930247E-1,1.689506230E-1
4.689442250E0,5.001224047E-2,3.552193559E-2,1.605861765E-1,1.719039039E-1
4.699359250E0,5.232777441E-2,3.344394021E-2,1.510055137E-1,1.632769373E-1
4.709275250E0,4.978021564E-2,3.789631171E-2,1.417224741E-1,1.549175909E-1
4.719192250E0,5.518985856E-2,3.500738518E-2,1.439642966E-1,1.581048899E-1
4.729108250E0,5.465772539E-2,3.896471221E-2,1.503991574E-1,1.646985801E-1
4.739025250E0,5.187132614E-2,3.155477336E-2,1.517428476E-1,1.634387652E-1
4.748941250E0,5.236135935E-2,2.946268528E-2,1.417119491E-1,1.539221826E-1
4.758858250E0,5.232877940E-2,3.144190382E-2,1.408161557E-1,1.534799145E-1
4.768774250E0,5.105945852E-2,3.785313367E-2,1.444110239E-1,1.577798208E-1
4.778691250E0,4.695531612E-2,3.371477136E-2,1.424621469E-1,1.537431326E-1
4.788607250E0,4.901642310E-2,3.669384551E-2,1.444075155E-1,1.568520914E-1
4.798524250E0,5.084144874E-2,3.503987377E-2,1.474018747E-1,1.598122596E-1
4.808440250E0,5.251362450E-2,3.933637129E-2,1.463546383E-1,1.603892485E-1
4.818357250E0,5.138209691E-2,3.928352251E-2,1.450086093E-1,1.587791290E-1
4.828273250E0,4.968569174E-2,4.118550299E-2,1.460587692E-1,1.596811751E-1
4.838190250E0,4.462781366E-2,2.997845995E-2,1.563855368E-1,1.653686365E-1
4.848106250E0,4.857287524E-2,4.078861409E-2,1.496489596E-1,1.625356772E-1
4.858023250E0,4.716910494E-2,3.552914868E-2,1.436614108E-1,1.553249684E-1
4.867939250E0,5.129676411E-2,2.998347576E-2,1.497974789E-1,1.611510208E-1
4.877856250E0,5.038313666E-2,2.756328580E-2,1.451559591E-1,1.561039643E-1
4.887772250E0,4.946726169E-2,2.735357632E-2,1.548863107E-1,1.648787353E-1
4.897689250E0,5.326575916E-2,3.624524530E-2,1.529415268E-1,1.659580354E-1
4.907605250E0,5.165229309E-2,3.061413452E-2,1.557844430E-1,1.669550158E-1
4.917522250E0,5.291565713E-2,3.373886829E-2,1.469522238E-1,1.597915332E-1
4.927438250E0,5.311311029E-2,3.755934763E-2,1.423095345E-1,1.564727155E-1
4.937355250E0,5.003096983E-2,3.785103690E-2,1.464996493E-1,1.593673310E-1
4.947271250E0,4.578987468E-2,3.323052598E-2,1.491940463E-1,1.595614111E-1
4.957188250E0,4.216701295E-2,3.261390511E-2,1.491940463E-1,1.584316484E-1
4.967105250E0,4.409867719E-2,3.326058432E-2,1.533835763E-1,1.630260141E-1
4.977021250E0,5.015262846E-2,3.376074510E-2,1.424527913E-1,1.547509994E-1
4.986938250E0,5.467808101E-2,3.849168617E-2,1.430503768E-1,1.579072916E-1
4.996854250E0,4.668272624E-2,3.305863611E-2,1.530754280E-1,1.634143109E-1
5.006771250E0,4.760156136E-2,4.230084567E-2,1.499296260E-1,1.628931028E-1
5.016687208E0,4.848944278E-2,4.131975140E-2,1.532233626E-1,1.659395877E-1
5.026604208E0,4.830892827E-2,3.808925155E-2,1.494834834E-1,1.616473181E-1
5.036520208E0,4.717257673E-2,4.072100566E-2,1.505324739E-1,1.629216929E-1
5.046437208E0,5.733432490E-2,3.633147346E-2,1.469399446E-1,1.618596556E-1
5.056353208E0,5.355263818E-2,3.894812530E-2,1.514300215E-1,1.652752036E-1
5.066270208E0,5.964203820E-2,3.873681241E-2,1.397537166E-1,1.568082098E-1
5.076186208E0,4.848873015E-2,3.835094186E-2,1.499302107E-1,1.621758915E-1
5.086103208E0,3.961998409E-2,3.036422543E-2,1.511265510E-1,1.591570412E-1
5.096019208E0,4.299125109E-2,3.063143405E-2,1.400507551E-1,1.496687891E-1
5.105936208E0,4.356658056E-2,3.147294888E-2,1.518761641E-1,1.611054396E-1
5.115852208E0,4.544128926E-2,3.174096149E-2,1.461897469E-1,1.563452637E-1
5.125769208E0,4.570437742E-2,3.406788380E-2,1.433444917E-1,1.542632624E-1
5.135685208E0,4.793320812E-2,2.738274388E-2,1.478351533E-1,1.578057023E-1
5.145602208E0,4.939101035E-2,2.932231099E-2,1.466370589E-1,1.574855449E-1
5.155518208E0,5.052155122E-2,3.528638873E-2,1.440917659E-1,1.567162830E-1
5.165435208E0,5.406373965E-2,4.717625408E-2,1.458874458E-1,1.625780850E-1
5.175351208E0,5.233559506E-2,3.733896242E-2,1.413950300E-1,1.553247152E-1
5.185268208E0,4.955663273E-2,3.434887906E-2,1.547161567E-1,1.660505781E-1
5.195184208E0,4.151303843E-2,3.306264237E-2,1.562130439E-1,1.649817741E-1
5.205101208E0,4.637861621E-2,3.969672879E-2,1.563615632E-1,1.678563218E-1
5.215017208E0,4.988912003E-2,3.090428432E-2,1.422890693E-1,1.539161406E-1
5.224934208E0,4.729421709E-2,4.051023181E-2,1.479766560E-1,1.605456713E-1
5.234851208E0,4.473300872E-2,3.540605565E-2,1.469276655E-1,1.576146241E-1
5.244767208E0,4.721659530E-2,2.683949186E-2,1.496238166E-1,1.591761656E-1
5.254684208E0,5.619890526E-2,3.054258835E-2,1.422867304E-1,1.560021805E-1
5.264600208E0,4.728868051E-2,3.585553295E-2,1.436333442E-1,1.554103475E-1
5.274517208E0,4.514182046E-2,2.472882060E-2,1.526140827E-1,1.610601029E-1
5.284433208E0,4.547920480E-2,2.901497128E-2,1.490203840E-1,1.584843887E-1
5.294350208E0,4.333627336E-2,4.188651105E-2,1.443806183E-1,1.564553462E-1
5.304266208E0,5.194054255E-2,2.987130515E-2,1.416850519E-1,1.538335749E-1
5.314183208E0,4.973643461E-2,2.607691901E-2,1.523135358E-1,1.623364772E-1
5.324099208E0,5.068916531E-2,3.638106059E-2,1.545600361E-1,1.666786663E-1
5.334016208E0,4.582583506E-2,3.422375321E-2,1.464785993E-1,1.572490143E-1
5.343932208E0,4.278371148E-2,3.830902920E-2,1.530637336E-1,1.634825196E-1
5.353849208E0,4.297458652E-2,3.327668244E-2,1.538127619E-1,1.631334374E-1
5.363765208E0,5.073691148E-2,3.316998902E-2,1.553096491E-1,1.667200332E-1
5.373682208E0,5.139084946E-2,3.246363624E-2,1.550096869E-1,1.665019824E-1
5.383598208E0,4.783058949E-2,3.364542704E-2,1.626426423E-1,1.728363652E-1
5.393515208E0,5.161700880E-2,3.258620849E-2,1.466241950E-1,1.588232701E-1
5.403431208E0,4.682532521E-2,3.492155902E-2,1.557563764E-1,1.663495571E-1
5.413348208E0,4.244214272E-2,3.323879431E-2,1.460283637E-1,1.556612859E-1
5.423265208E0,4.876665562E-2,3.233856064E-2,1.583010846E-1,1.687696732E-1
5.433181208E0,4.814524278E-2,2.928961226E-2,1.569538862E-1,1.667644092E-1
5.443098208E0,4.488229545E-2,3.165151280E-2,1.443806183E-1,1.544733040E-1
5.453014208E0,4.658328703E-2,3.502082007E-2,1.404875422E-1,1.520960551E-1
5.462931208E0,4.581655260E-2,2.496647337E-2,1.455752045E-1,1.546435302E-1
5.472847208E0,5.190237120E-2,3.188266968E-2,1.464727521E-1,1.586336278E-1
5.482764208E0,4.715450518E-2,3.080316403E-2,1.527555853E-1,1.628086334E-1
5.492680208E0,4.576230140E-2,2.490775453E-2,1.515569061E-1,1.602625354E-1
5.502597208E0,4.472222792E-2,4.168149306E-2,1.554464740E-1,1.670360165E-1
5.512513208E0,4.331041770E-2,3.247651381E-2,1.392818463E-1,1.494320880E-1
5.522430208E0,4.312648622E-2,3.194805800E-2,1.487122357E-1,1.581009211E-1
5.532346208E0,4.685072405E-2,2.843370780E-2,1.521550763E-1,1.617239417E-1
5.542263208E0,4.878679197E-2,4.109752980E-2,1.653270990E-1,1.772066807E-1
5.552179208E0,5.375281395E-2,3.415700359E-2,1.506599432E-1,1.635679810E-1
5.562096208E0,4.989926130E-2,2.947975641E-2,1.497588873E-1,1.605824294E-1
5.572012208E0,5.265699092E-2,2.838548197E-2,1.418218768E-1,1.539218601E-1
5.581929208E0,5.170647120E-2,3.518753881E-2,1.427176702E-1,1.558205873E-1
5.591846208E0,4.958568608E-2,3.072141265E-2,1.478041631E-1,1.588981312E-1
5.601762208E0,4.948624687E-2,3.364082236E-2,1.593278557E-1,1.701938870E-1
5.611679208E0,5.220469052E-2,2.787698891E-2,1.452524382E-1,1.568461891E-1
5.621595208E0,4.915357685E-2,3.350758807E-2,1.471954679E-1,1.587618920E-1
5.631512208E0,4.209363040E-2,3.480503954E-2,1.503365922E-1,1.599511033E-1
5.641428208E0,4.580158738E-2,3.235545361E-2,1.458465153E-1,1.562557737E-1
5.651345208E0,5.287079802E-2,3.527465775E-2,1.424019206E-1,1.559420717E-1
5.661261208E0,4.565597344E-2,3.316296323E-2,1.516849601E-1,1.618412097E-1
5.671178208E0,4.444633070E-2,3.142003158E-2,1.537829411E-1,1.631315042E-1
5.681094208E0,5.128298661E-2,3.989137255E-2,1.470492876E-1,1.607630533E-1
5.691011208E0,4.670346558E-2,3.501709247E-2,1.391146159E-1,1.508651279E-1
5.700927208E0,3.783018792E-2,3.696446196E-2,1.452500993E-1,1.545803542E-1
5.710844208E0,4.449826129E-2,3.378065761E-2,1.482432890E-1,1.584212764E-1
5.720761208E0,4.874357739E-2,3.232961623E-2,1.507868278E-1,1.617337561E-1
5.730677208E0,5.420286683E-2,2.784403894E-2,1.533291972E-1,1.649941938E-1
5.740594208E0,4.865570471E-2,2.995460514E-2,1.570708305E-1,1.671403654E-1
5.750510208E0,4.293776734E-2,3.351962511E-2,1.459938651E-1,1.558249845E-1
5.760427208E0,3.914107885E-2,3.106701507E-2,1.518293864E-1,1.598416280E-1
5.770343208E0,4.360612236E-2,2.913647003E-2,1.474872440E-1,1.565340696E-1
5.780260208E0,4.868156036E-2,3.637376984E-2,1.477872062E-1,1.597936287E-1
5.790176208E0,4.987484917E-2,3.454770723E-2,1.416505533E-1,1.540971250E-1
5.800093208E0,4.543668458E-2,2.511958363E-2,1.518311405E-1,1.604623975E-1
5.810009208E0,4.981842354E-2,3.227827950E-2,1.485368192E-1,1.599592114E-1
5.819926208E0,4.683124552E-2,3.437119898E-2,1.434450638E-1,1.547612071E-1
5.829842208E0,4.162709568E-2,3.677167743E-2,1.438929605E-1,1.542405765E-1
5.839759208E0,4.027733903E-2,3.449632939E-2,1.545231986E-1,1.633697637E-1
5.849675208E0,4.384057743E-2,3.608779075E-2,1.456915641E-1,1.563660984E-1
5.859592208E0,4.518196525E-2,2.910781867E-2,1.432947904E-1,1.530427131E-1
5.869509208E0,4.391443508E-2,1.884888795E-2,1.567685294E-1,1.638906038E-1
5.879425208E0,4.642190387E-2,2.960448939E-2,1.507827348E-1,1.605205658E-1
5.889342208E0,4.750234142E-2,3.037882063E-2,1.385076749E-1,1.495450474E-1
5.899258208E0,4.453133460E-2,3.603287260E-2,1.518282169E-1,1.622751217E-1
5.909175208E0,4.804713747E-2,3.923270655E-2,1.474854898E-1,1.599990700E-1
5.919091208E0,5.349074906E-2,3.442684803E-2,1.477836978E-1,1.608927887E-1
5.929008208E0,3.905346198E-2,3.789916679E-2,1.461382914E-1,1.559420403E-1
5.938924208E0,4.113698937E-2,3.118972437E-2,1.573655301E-1,1.656169100E-1
5.948841208E0,3.910235932E-2,3.383575391E-2,1.494308585E-1,1.581247426E-1
5.958757208E0,4.041515060E-2,3.257166354E-2,1.486824149E-1,1.574825646E-1
5.968674208E0,4.490844347E-2,3.366399652E-2,1.582595694E-1,1.679170160E-1
5.978591208E0,4.568800522E-2,3.118758192E-2,1.479310477E-1,1.579356007E-1
5.988507208E0,4.875700772E-2,2.929790800E-2,1.509242374E-1,1.612877511E-1
5.998424208E0,4.733436188E-2,3.343439737E-2,1.516767740E-1,1.623707009E-1
6.008340208E0,4.044579366E-2,3.288754110E-2,1.389538175E-1,1.484102961E-1
6.018257458E0,3.882264314E-2,2.715436442E-2,1.527257645E-1,1.599053354E-1
6.028173458E0,3.606049156E-2,3.356247424E-2,1.438929605E-1,1.520920209E-1
6.038090458E0,4.141537165E-2,3.425992829E-2,1.465873575E-1,1.561308076E-1
6.048006458E0,4.419890212E-2,2.777725277E-2,1.531736612E-1,1.618248721E-1
6.057923458E0,4.540390363E-2,2.969323916E-2,1.509294999E-1,1.603836552E-1
6.067839458E0,4.100942871E-2,3.811214249E-2,1.504792643E-1,1.605562756E-1
6.077756458E0,4.687860796E-2,2.975254272E-2,1.431404239E-1,1.535317512E-1
6.087673458E0,3.488986071E-2,3.199729795E-2,1.534689456E-1,1.606046286E-1
6.097589458E0,3.465482092E-2,2.540440698E-2,1.501740396E-1,1.562004567E-1
6.107506458E0,3.919405097E-2,3.530746154E-2,1.513733035E-1,1.603018013E-1
6.117422458E0,4.104670471E-2,2.996934651E-2,1.534677762E-1,1.616643190E-1
6.127339458E0,4.775534313E-2,3.244597582E-2,1.420914334E-1,1.533730406E-1
6.137255458E0,4.316917090E-2,2.726268866E-2,1.459804165E-1,1.546515875E-1
6.147172458E0,4.692830930E-2,3.026297267E-2,1.470270681E-1,1.572738773E-1
6.157088458E0,4.840964656E-2,2.745451845E-2,1.509189749E-1,1.608532917E-1
6.167005458E0,3.651204279E-2,3.185683229E-2,1.503219742E-1,1.579388583E-1
6.176921458E0,4.748293597E-2,2.589721763E-2,1.542156351E-1,1.634250813E-1
6.186838458E0,4.643451193E-2,2.982249461E-2,1.465809256E-1,1.566253901E-1
6.196755458E0,3.872777207E-2,3.010309700E-2,1.525667202E-1,1.602580447E-1
6.206671458E0,3.642952396E-2,3.025742238E-2,1.461295205E-1,1.536113882E-1
6.216588458E0,4.318795508E-2,3.412340038E-2,1.446361417E-1,1.547553534E-1
6.226504458E0,4.498898886E-2,2.733121072E-2,1.458365750E-1,1.550461570E-1
