"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.038632500E-1,9.090063181E-2,7.229463172E-2,1.439578646E-1,1.849683904E-1
6.137792500E-1,8.538950315E-2,6.975720508E-2,1.467996114E-1,1.835961896E-1
6.236952500E-1,8.893488927E-2,6.939986254E-2,1.473948580E-1,1.856098047E-1
6.336122500E-1,1.009993397E-1,6.411090067E-2,1.446934444E-1,1.877425552E-1
6.435282500E-1,9.469885519E-2,6.192371311E-2,1.514230049E-1,1.890273679E-1
6.534452500E-1,1.019631984E-1,6.814479881E-2,1.559060651E-1,1.983605519E-1
6.633612500E-1,1.032604763E-1,7.260906117E-2,1.430293268E-1,1.907673715E-1
6.732772500E-1,9.258285748E-2,7.290701335E-2,1.538057452E-1,1.937607426E-1
6.831942500E-1,8.856943829E-2,6.767859757E-2,1.476667535E-1,1.850146158E-1
6.931102500E-1,8.239998624E-2,6.046047480E-2,1.431725836E-1,1.759079743E-1
7.030272500E-1,9.150612926E-2,6.802005669E-2,1.457108599E-1,1.850182545E-1
7.129432500E-1,9.259466155E-2,7.596540864E-2,1.575345147E-1,1.978929963E-1
7.228592500E-1,9.802930132E-2,6.949323527E-2,1.582806194E-1,1.987254592E-1
7.327762500E-1,1.008630265E-1,6.413185014E-2,1.609720927E-1,2.004950347E-1
7.426922500E-1,8.966586431E-2,6.065524190E-2,1.492946184E-1,1.844123333E-1
7.526092500E-1,9.004187683E-2,7.272141451E-2,1.450986564E-1,1.856059369E-1
7.625252500E-1,9.582888443E-2,7.174005529E-2,1.374633622E-1,1.822799676E-1
7.724412500E-1,9.318669213E-2,6.550848571E-2,1.537776786E-1,1.913705717E-1
7.823582500E-1,9.049161907E-2,6.479909968E-2,1.446437430E-1,1.825088185E-1
7.922742500E-1,9.594442176E-2,6.113058855E-2,1.504769254E-1,1.886414217E-1
8.021912500E-1,9.926364854E-2,6.429512450E-2,1.479269546E-1,1.893924995E-1
8.121072500E-1,9.367550109E-2,6.623504793E-2,1.444806057E-1,1.844907220E-1
8.220242500E-1,9.001669725E-2,6.438595735E-2,1.417850393E-1,1.798653793E-1
8.319402500E-1,9.667366091E-2,6.181643954E-2,1.462680995E-1,1.859070355E-1
8.418562500E-1,9.570936369E-2,6.043064029E-2,1.470124501E-1,1.855392278E-1
8.517732500E-1,8.515784377E-2,6.054070499E-2,1.467124879E-1,1.801154892E-1
8.616892500E-1,8.913042381E-2,5.960959072E-2,1.449121302E-1,1.802694129E-1
8.716062500E-1,8.511141323E-2,6.392389483E-2,1.468522364E-1,1.813719833E-1
8.815222500E-1,9.418815572E-2,5.467219725E-2,1.419090003E-1,1.788815871E-1
8.914382500E-1,9.208615478E-2,6.042626402E-2,1.499886829E-1,1.860854596E-1
9.013552500E-1,9.727870155E-2,6.206426555E-2,1.428001159E-1,1.835946403E-1
9.112712500E-1,9.466336990E-2,6.323006331E-2,1.643541223E-1,1.999286673E-1
9.211882500E-1,9.369918231E-2,5.995329279E-2,1.616556323E-1,1.962306743E-1
9.311042500E-1,8.264969889E-2,5.326272592E-2,1.514750451E-1,1.805895345E-1
9.410202500E-1,7.951051153E-2,5.838623443E-2,1.414406383E-1,1.724422453E-1
9.509372500E-1,8.780109588E-2,6.080644267E-2,1.444297349E-1,1.796285173E-1
9.608532500E-1,9.630844748E-2,7.011538815E-2,1.557996458E-1,1.961249967E-1
9.707702500E-1,9.782177998E-2,6.265701334E-2,1.519054002E-1,1.912335027E-1
9.806862500E-1,9.942676758E-2,6.120485276E-2,1.478602964E-1,1.883995312E-1
9.906032500E-1,8.407521352E-2,6.483074773E-2,1.475562412E-1,1.817814943E-1
1.000519250E0,7.715488762E-2,6.128038234E-2,1.518942904E-1,1.810525819E-1
1.010435458E0,7.476021526E-2,6.435204349E-2,1.496425277E-1,1.792293541E-1
1.020352458E0,8.388251122E-2,5.425761139E-2,1.518855196E-1,1.817948711E-1
1.030268458E0,9.397158947E-2,5.286196324E-2,1.476930660E-1,1.828613916E-1
1.040185458E0,9.557776479E-2,5.698860828E-2,1.485871053E-1,1.856365763E-1
1.050101458E0,9.339289784E-2,6.172662083E-2,1.463400203E-1,1.842493165E-1
1.060018458E0,8.741793880E-2,6.162698062E-2,1.464908785E-1,1.813818024E-1
1.069934458E0,8.478829974E-2,6.139655921E-2,1.473878413E-1,1.807809974E-1
1.079850458E0,8.535754446E-2,6.057941996E-2,1.509774470E-1,1.837116383E-1
1.089767458E0,9.030905804E-2,5.626337081E-2,1.473825788E-1,1.817771091E-1
1.099683458E0,9.675067971E-2,6.607822378E-2,1.517206281E-1,1.916929177E-1
1.109600458E0,8.708912428E-2,6.350292271E-2,1.457289863E-1,1.812569287E-1
1.119516458E0,9.300420418E-2,5.285111391E-2,1.331510407E-1,1.707987760E-1
1.129432458E0,9.532200392E-2,5.584226165E-2,1.373382318E-1,1.762567234E-1
1.139349458E0,8.804868892E-2,6.062894313E-2,1.443695086E-1,1.796412964E-1
1.149265458E0,8.695273798E-2,6.187987726E-2,1.557417583E-1,1.887998759E-1
1.159182458E0,8.838066459E-2,5.736038156E-2,1.484029180E-1,1.820021464E-1
1.169098458E0,8.809605137E-2,6.060888444E-2,1.418136907E-1,1.776104558E-1
1.179015458E0,8.679809740E-2,5.575169376E-2,1.421089751E-1,1.756050166E-1
1.188931458E0,8.714500174E-2,5.334938805E-2,1.443496281E-1,1.768536787E-1
1.198847458E0,7.835144721E-2,5.126802596E-2,1.504821879E-1,1.772350096E-1
1.208764458E0,8.458273357E-2,5.198811513E-2,1.584115970E-1,1.869524993E-1
1.218680458E0,8.621220639E-2,5.488660734E-2,1.387965274E-1,1.723646141E-1
1.228597458E0,7.996332357E-2,5.223731159E-2,1.381901711E-1,1.679862888E-1
1.238513458E0,7.618308038E-2,5.849946485E-2,1.366862673E-1,1.670604225E-1
1.248429458E0,9.205269774E-2,6.476778053E-2,1.464136952E-1,1.846768386E-1
1.258346458E0,9.310322313E-2,5.996822147E-2,1.518001503E-1,1.879033884E-1
1.268262458E0,8.748295253E-2,5.210378950E-2,1.507511598E-1,1.819175199E-1
1.278179458E0,7.969796961E-2,5.462442367E-2,1.407190919E-1,1.706969737E-1
1.288095458E0,7.875950977E-2,5.449953994E-2,1.483502930E-1,1.765816233E-1
1.298012458E0,6.617323190E-2,5.700629611E-2,1.402671021E-1,1.652376300E-1
1.307928458E0,7.334789341E-2,5.529627789E-2,1.555330127E-1,1.806325272E-1
1.317844458E0,7.904030403E-2,5.480534018E-2,1.493905127E-1,1.776753226E-1
1.327761458E0,9.712528523E-2,5.578806984E-2,1.442975879E-1,1.826675221E-1
1.337677458E0,9.048219044E-2,5.486153284E-2,1.468446350E-1,1.809976834E-1
1.347594458E0,9.009830246E-2,4.780132600E-2,1.583694971E-1,1.883708270E-1
1.357510458E0,7.556590676E-2,5.089352550E-2,1.468440503E-1,1.728106834E-1
1.367427458E0,7.784043711E-2,5.196688243E-2,1.443005115E-1,1.719951398E-1
1.377343458E0,8.570923621E-2,5.681381308E-2,1.532777417E-1,1.845750487E-1
1.387259458E0,8.535999298E-2,5.173684018E-2,1.493852502E-1,1.796635244E-1
1.397176458E0,8.600194417E-2,5.944361659E-2,1.468358642E-1,1.802516268E-1
1.407092458E0,8.780082179E-2,5.167558603E-2,1.496770263E-1,1.810595556E-1
1.417009458E0,7.787670812E-2,5.125560519E-2,1.356062865E-1,1.645630082E-1
1.426925458E0,7.271851374E-2,5.853892442E-2,1.477299035E-1,1.747538620E-1
1.436842458E0,7.405487660E-2,5.721136892E-2,1.468288475E-1,1.741148355E-1
1.446758458E0,8.102112142E-2,4.920270259E-2,1.444326586E-1,1.727602990E-1
1.456674458E0,7.821442137E-2,5.027074678E-2,1.373955345E-1,1.658980910E-1
1.466591458E0,6.952827288E-2,5.695661305E-2,1.496670860E-1,1.745808498E-1
1.476507458E0,7.300378477E-2,5.414688888E-2,1.415733701E-1,1.682392858E-1
1.486424458E0,7.822977031E-2,4.834906850E-2,1.295953488E-1,1.589103012E-1
1.496340458E0,8.275628267E-2,5.503281057E-2,1.448618442E-1,1.756763116E-1
1.506256458E0,7.872373212E-2,5.705948750E-2,1.530900460E-1,1.813553785E-1
1.516173458E0,7.637348033E-2,5.728641885E-2,1.520375472E-1,1.795273184E-1
1.526089458E0,7.709873607E-2,5.605696410E-2,1.508341902E-1,1.784308025E-1
1.536006458E0,7.268929593E-2,5.743175413E-2,1.449922371E-1,1.720607130E-1
1.545922458E0,8.299885076E-2,5.221273044E-2,1.470855403E-1,1.767742476E-1
1.555839458E0,8.004569622E-2,5.663996805E-2,1.520235139E-1,1.809048044E-1
1.565755458E0,8.600678639E-2,5.760651279E-2,1.654984224E-1,1.952060589E-1
1.575671458E0,7.435195170E-2,5.250591349E-2,1.538203633E-1,1.787338464E-1
1.585588458E0,7.585039208E-2,5.893226387E-2,1.608533943E-1,1.873502286E-1
1.595504458E0,6.435937079E-2,5.257709420E-2,1.651920283E-1,1.849185920E-1
1.605421458E0,6.954426136E-2,4.786326994E-2,1.550120258E-1,1.765106939E-1
1.615337458E0,8.413913090E-2,5.829544727E-2,1.538133466E-1,1.847601097E-1
1.625254458E0,8.133407537E-2,5.092039528E-2,1.548588288E-1,1.821795140E-1
1.635170458E0,7.941370357E-2,5.518879876E-2,1.440794867E-1,1.735259010E-1
1.645086458E0,8.756212749E-2,4.924694500E-2,1.458739972E-1,1.771203287E-1
1.655003458E0,7.241592033E-2,5.443058391E-2,1.502120465E-1,1.754149734E-1
1.664919458E0,6.873559143E-2,4.795217046E-2,1.413786578E-1,1.643530257E-1
1.674836458E0,7.171456508E-2,3.957247546E-2,1.392830157E-1,1.615819239E-1
1.684752458E0,7.943840805E-2,5.562167087E-2,1.488619244E-1,1.776628928E-1
1.694669458E0,7.865807885E-2,4.936580337E-2,1.464639813E-1,1.734236827E-1
1.704585458E0,7.933308508E-2,5.119054578E-2,1.543963140E-1,1.809763304E-1
1.714502458E0,7.657953987E-2,5.144241916E-2,1.448174053E-1,1.717056473E-1
1.724418458E0,7.317386566E-2,4.770064426E-2,1.524526995E-1,1.757031351E-1
1.734334458E0,7.348636279E-2,4.404209624E-2,1.431708294E-1,1.668467505E-1
1.744251458E0,7.229780657E-2,5.957748128E-2,1.506529266E-1,1.774056183E-1
1.754167458E0,8.514242174E-2,5.702215211E-2,1.496015972E-1,1.813322798E-1
1.764084458E0,7.846429847E-2,5.498122717E-2,1.542378545E-1,1.815733935E-1
1.774000458E0,7.498363372E-2,4.827453934E-2,1.446542680E-1,1.699347926E-1
1.783917458E0,7.532629883E-2,5.249556666E-2,1.462985051E-1,1.727225764E-1
1.793833458E0,7.386619426E-2,5.228764789E-2,1.379141825E-1,1.649561594E-1
1.803749458E0,7.149403369E-2,4.515672629E-2,1.434479874E-1,1.665168216E-1
1.813666458E0,7.618942095E-2,4.301813914E-2,1.410512137E-1,1.659844362E-1
1.823582458E0,7.616639754E-2,5.128238361E-2,1.431433475E-1,1.700624030E-1
1.833499458E0,7.357028861E-2,4.581674446E-2,1.498787552E-1,1.731340599E-1
1.843415458E0,7.858690728E-2,4.859703155E-2,1.435877359E-1,1.707483861E-1
1.853332458E0,7.942771861E-2,4.467847430E-2,1.438865286E-1,1.703181190E-1
1.863248458E0,7.035154257E-2,4.923203004E-2,1.486748135E-1,1.716896400E-1
1.873164458E0,8.239249449E-2,5.008387799E-2,1.551079202E-1,1.826345665E-1
1.883081458E0,8.276647875E-2,4.986795128E-2,1.447782290E-1,1.740627420E-1
1.892997458E0,7.484967766E-2,5.369191612E-2,1.462727773E-1,1.728612782E-1
1.902914458E0,7.664035091E-2,4.928856987E-2,1.426802480E-1,1.692948897E-1
1.912830458E0,7.152800236E-2,5.406082517E-2,1.453717214E-1,1.707974394E-1
1.922747458E0,7.558167597E-2,5.005124322E-2,1.530011684E-1,1.778400242E-1
1.932663458E0,7.605157284E-2,5.570161784E-2,1.402752882E-1,1.690078946E-1
1.942580458E0,7.677288171E-2,4.587338023E-2,1.494092238E-1,1.741308661E-1
1.952496458E0,7.416239228E-2,5.569726441E-2,1.506061488E-1,1.768741297E-1
1.962412458E0,8.501372818E-2,5.325901659E-2,1.471592152E-1,1.781002287E-1
1.972329458E0,7.439121941E-2,5.405641235E-2,1.522427845E-1,1.778595364E-1
1.982245458E0,7.391755840E-2,5.141919019E-2,1.399624622E-1,1.664248460E-1
1.992162458E0,7.093993692E-2,5.458190345E-2,1.435503137E-1,1.691695936E-1
2.002078458E0,7.420003373E-2,4.834718642E-2,1.517831933E-1,1.757305700E-1
2.011995625E0,7.731996182E-2,5.131339670E-2,1.505833447E-1,1.768807080E-1
2.021911625E0,8.361132832E-2,5.234916243E-2,1.541729504E-1,1.830316575E-1
2.031827625E0,7.509659462E-2,4.954716755E-2,1.522246581E-1,1.768241128E-1
2.041744625E0,7.553550124E-2,4.373014729E-2,1.441397130E-1,1.685057702E-1
2.051660625E0,7.734305833E-2,4.304948570E-2,1.459365624E-1,1.706830019E-1
2.061577625E0,7.842561549E-2,5.532742345E-2,1.474340343E-1,1.759218447E-1
2.071493625E0,7.606396163E-2,5.219101352E-2,1.427942687E-1,1.699995039E-1
2.081410625E0,7.844587974E-2,4.806569324E-2,1.492314684E-1,1.753114317E-1
2.091326625E0,7.367517304E-2,5.790420459E-2,1.342637658E-1,1.637305312E-1
2.101243625E0,6.459020790E-2,4.844441922E-2,1.399507678E-1,1.615703380E-1
2.111159625E0,6.655467136E-2,5.861017822E-2,1.436912316E-1,1.688545152E-1
2.121075625E0,7.741949240E-2,4.656855935E-2,1.475825536E-1,1.730405116E-1
2.130992625E0,7.449444104E-2,4.873447767E-2,1.540150756E-1,1.778907377E-1
2.140908625E0,8.076185223E-2,3.782841092E-2,1.426358092E-1,1.682214003E-1
2.150825625E0,7.589927115E-2,5.005205635E-2,1.465271312E-1,1.724416072E-1
2.160741625E0,7.326135462E-2,5.316204874E-2,1.543091905E-1,1.788987305E-1
2.170658625E0,7.664586922E-2,5.428794382E-2,1.436812913E-1,1.716568775E-1
2.180574625E0,6.438723642E-2,4.807917381E-2,1.504178685E-1,1.705369706E-1
2.190491625E0,6.992199149E-2,5.164485617E-2,1.525105870E-1,1.755441688E-1
2.200407625E0,7.306578353E-2,5.133741139E-2,1.424785191E-1,1.681495374E-1
2.210323625E0,7.823035503E-2,4.794501219E-2,1.551985520E-1,1.802922716E-1
2.220240625E0,7.333990831E-2,4.698885082E-2,1.418756711E-1,1.664794291E-1
2.230156625E0,6.443043273E-2,5.125608028E-2,1.445688987E-1,1.663689661E-1
2.240073625E0,6.688134799E-2,5.382431444E-2,1.409716916E-1,1.650551101E-1
2.249989625E0,6.458869128E-2,5.626093599E-2,1.316874826E-1,1.570941916E-1
2.259906625E0,6.681796052E-2,5.120153672E-2,1.403670895E-1,1.636739351E-1
2.269822625E0,7.412878906E-2,5.129931770E-2,1.494975168E-1,1.745743534E-1
2.279739625E0,7.552503107E-2,5.110316645E-2,1.580297738E-1,1.824526606E-1
2.289655625E0,7.379314061E-2,4.560332566E-2,1.527894992E-1,1.756978144E-1
2.299571625E0,6.786718855E-2,4.353059735E-2,1.439561105E-1,1.649976664E-1
2.309488625E0,7.294023285E-2,5.600855098E-2,1.493454891E-1,1.753890261E-1
2.319404625E0,7.121981755E-2,5.325940032E-2,1.569784445E-1,1.804191180E-1
2.329321625E0,7.059496947E-2,5.189221166E-2,1.518884432E-1,1.753469433E-1
2.339237625E0,6.694305439E-2,4.691807667E-2,1.533841610E-1,1.738084558E-1
2.349154625E0,6.147881309E-2,5.148410342E-2,1.391625631E-1,1.606128150E-1
2.359070625E0,7.145120284E-2,5.058724103E-2,1.414067245E-1,1.663135745E-1
2.368987625E0,7.628959106E-2,4.829388997E-2,1.542782003E-1,1.787572784E-1
2.378903625E0,7.084671037E-2,4.469118743E-2,1.463411897E-1,1.686188080E-1
2.388819625E0,6.707666326E-2,4.706603406E-2,1.530789363E-1,1.736307895E-1
2.398736625E0,6.404362114E-2,5.253727832E-2,1.536747676E-1,1.745785933E-1
2.408652625E0,6.143888757E-2,4.360511280E-2,1.499343038E-1,1.677988028E-1
2.418569625E0,6.452124730E-2,4.991172317E-2,1.493349642E-1,1.701619904E-1
2.428485625E0,7.334559107E-2,5.439056246E-2,1.517282295E-1,1.770857551E-1
2.438402625E0,7.232678683E-2,4.174825638E-2,1.436426997E-1,1.661544648E-1
2.448318625E0,7.282206427E-2,4.771400149E-2,1.421423042E-1,1.666856731E-1
2.458235625E0,7.460820593E-2,4.410316767E-2,1.419896919E-1,1.663506729E-1
2.468151625E0,6.956127310E-2,5.364242492E-2,1.430328351E-1,1.678531274E-1
2.478067625E0,6.762849424E-2,4.774070225E-2,1.484222138E-1,1.699468783E-1
2.487984625E0,6.925772952E-2,4.578796977E-2,1.512657148E-1,1.725528549E-1
2.497900625E0,7.595187781E-2,4.094316788E-2,1.502173090E-1,1.732347271E-1
2.507817625E0,6.938644135E-2,4.183788780E-2,1.431778461E-1,1.645137766E-1
2.517733625E0,6.378908454E-2,4.882785953E-2,1.552985394E-1,1.748451987E-1
2.527650625E0,6.360500688E-2,4.999839901E-2,1.518562835E-1,1.720632664E-1
2.537566625E0,6.612395084E-2,4.532198322E-2,1.509546429E-1,1.709203418E-1
2.547483625E0,6.738327663E-2,4.470250270E-2,1.418201226E-1,1.632536888E-1
2.557399625E0,6.913946958E-2,3.775522022E-2,1.397238958E-1,1.604010286E-1
2.567316625E0,7.139019080E-2,4.621655697E-2,1.485531914E-1,1.711741223E-1
2.577232625E0,7.229420688E-2,3.540638456E-2,1.504997295E-1,1.706758126E-1
2.587148625E0,6.462806862E-2,4.515144553E-2,1.513943535E-1,1.706917999E-1
2.597065625E0,6.893933035E-2,4.806548767E-2,1.403173882E-1,1.635600556E-1
2.606981625E0,5.954152090E-2,3.577439826E-2,1.470510417E-1,1.626315134E-1
2.616898625E0,7.169687726E-2,4.016761695E-2,1.422592485E-1,1.642911241E-1
2.626814625E0,7.837496398E-2,4.404045171E-2,1.477971464E-1,1.729918867E-1
2.636731625E0,7.089144157E-2,5.153510210E-2,1.474977690E-1,1.715723028E-1
2.646647625E0,7.042251315E-2,4.116541232E-2,1.489917326E-1,1.698601128E-1
2.656564625E0,6.849788385E-2,4.431052912E-2,1.464446855E-1,1.676348084E-1
2.666480625E0,6.612742262E-2,4.303075634E-2,1.506371391E-1,1.700471396E-1
2.676397625E0,6.918147817E-2,3.920874667E-2,1.340170133E-1,1.558331242E-1
2.686313625E0,7.076916168E-2,5.114202303E-2,1.495869792E-1,1.732052109E-1
2.696229625E0,6.972126754E-2,4.789411400E-2,1.506353849E-1,1.727597190E-1
2.706146625E0,6.722713770E-2,4.368886046E-2,1.320716447E-1,1.545028281E-1
2.716062625E0,7.344618145E-2,5.061215109E-2,1.483871305E-1,1.731319494E-1
2.725979625E0,6.745581865E-2,5.014146393E-2,1.492835087E-1,1.713184749E-1
2.735895625E0,7.044104151E-2,4.300344802E-2,1.443443656E-1,1.662724654E-1
2.745812625E0,6.743107762E-2,4.593288935E-2,1.536256510E-1,1.739471793E-1
2.755728625E0,6.837204080E-2,4.736268433E-2,1.459897721E-1,1.680207528E-1
2.765645625E0,6.252515405E-2,4.012697423E-2,1.486824149E-1,1.662107982E-1
2.775561625E0,6.696227711E-2,4.588330679E-2,1.603604740E-1,1.797350996E-1
2.785478625E0,6.455342526E-2,4.292554300E-2,1.503342533E-1,1.691453064E-1
2.795394625E0,6.807330290E-2,4.892695613E-2,1.606616056E-1,1.812180265E-1
2.805311625E0,6.476867588E-2,4.818628749E-2,1.400016385E-1,1.616086584E-1
2.815227625E0,6.684933448E-2,4.332209843E-2,1.410494596E-1,1.619894681E-1
2.825143625E0,6.964624045E-2,4.357117154E-2,1.552728117E-1,1.756664221E-1
2.835060625E0,6.187909154E-2,4.823153946E-2,1.488361967E-1,1.682483783E-1
2.844976625E0,6.977226622E-2,3.924256002E-2,1.449413663E-1,1.655782212E-1
2.854893625E0,6.871269593E-2,4.294111578E-2,1.497290665E-1,1.702473711E-1
2.864809625E0,7.216417942E-2,4.247804828E-2,1.361056387E-1,1.598023726E-1
2.874726625E0,6.620709093E-2,5.150363677E-2,1.329604214E-1,1.572083877E-1
2.884642625E0,6.656897876E-2,3.637297042E-2,1.480783975E-1,1.663779845E-1
2.894559625E0,6.764546944E-2,4.123196094E-2,1.504740018E-1,1.700541365E-1
2.904475625E0,7.622554578E-2,5.265180609E-2,1.467306143E-1,1.735293050E-1
2.914392625E0,7.042335369E-2,3.589739079E-2,1.434357083E-1,1.637738496E-1
2.924308625E0,6.312855016E-2,4.244768387E-2,1.507687014E-1,1.688733876E-1
2.934224625E0,6.253904119E-2,3.542324098E-2,1.351993203E-1,1.531169288E-1
2.944141625E0,6.370936140E-2,4.432006282E-2,1.495659292E-1,1.685025753E-1
2.954057625E0,6.879777292E-2,4.104878778E-2,1.498653066E-1,1.699345364E-1
2.963974625E0,7.281378681E-2,3.466785838E-2,1.482210696E-1,1.687400172E-1
2.973890625E0,6.644467061E-2,3.863242591E-2,1.560037136E-1,1.739095088E-1
2.983807625E0,6.408824271E-2,4.195124156E-2,1.518077517E-1,1.700376517E-1
2.993723625E0,5.841620598E-2,4.482720371E-2,1.411804372E-1,1.592289143E-1
3.003640625E0,6.161328077E-2,4.218845122E-2,1.471691555E-1,1.650297613E-1
3.013555875E0,6.844376056E-2,4.363629491E-2,1.423761928E-1,1.638891542E-1
3.023472875E0,6.861281818E-2,3.911717836E-2,1.518042433E-1,1.711210120E-1
3.033388875E0,7.028504876E-2,3.426776265E-2,1.470153737E-1,1.665166290E-1
3.043305875E0,6.652340703E-2,4.221950999E-2,1.461166567E-1,1.660058073E-1
3.053221875E0,6.451134358E-2,3.714784526E-2,1.425235426E-1,1.607937687E-1
3.063137875E0,6.380560292E-2,4.139702145E-2,1.456652516E-1,1.643266073E-1
3.073054875E0,6.628370773E-2,4.096431378E-2,1.452156007E-1,1.648004114E-1
3.082970875E0,6.333334889E-2,3.607151904E-2,1.507529140E-1,1.674476295E-1
3.092887875E0,6.885030650E-2,4.324784336E-2,1.432678932E-1,1.647313871E-1
