"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679927595538293E9,"2023-03-27 10:33:15.538 UTC-04:00"
"PAUSE",4.570678491666695E1,1.679927641245041E9,"2023-03-27 10:34:01.245 UTC-04:00"
