time_tick,acc_X_value,acc_Y_value,acc_Z_value
3187678122858,-0.26635742,0.09597778,6.9928284
3187678122864,0.10498047,-0.0016174316,11.10611
3187678122869,0.16448975,0.041229248,11.382233
3187678122874,0.18591309,0.010284424,11.577423
3187678122879,0.09069824,0.019805908,10.66098
3187678122884,-0.035461426,0.017425537,9.049469
3187678122888,-0.19494629,0.041229248,7.652191
3187678122894,-0.18304443,0.0031433105,7.9878235
3187678122899,-0.07354736,-0.10873413,9.539825
3187678122903,0.007385254,-0.10397339,10.387238
3187678122908,0.06451416,-0.13729858,10.558624
3187678122914,0.031188965,-0.07064819,9.992096
3187678122918,0.038330078,0.017425537,9.204193
3187678122924,-0.02355957,0.060272217,8.794769
3187678122928,0.02166748,0.036468506,9.163727
3187678122933,0.038330078,0.0031433105,9.792145
3187678122938,0.09069824,0.007904053,10.01828
3187678122944,0.033569336,-0.06112671,9.934967
3187678122948,-0.011657715,-0.09921265,9.56839
3187678122953,0.1430664,0.24594116,9.318451
3187678122958,0.15496826,0.15310669,9.0589905
3187678122963,0.050231934,0.057891846,9.387482
3187678122968,-0.06878662,-0.037322998,9.463654
3187678122974,-0.06640625,-0.08731079,9.363678
3187678122978,-0.1616211,-0.17300415,9.280365
3187678122983,-0.2354126,-0.14205933,9.261322
3187678122988,-0.3163452,-0.13015747,9.373199
3187678122993,-0.26635742,-0.06826782,9.451752
3187678122998,-0.1616211,0.029327393,9.368439
3187678123003,-0.009277344,0.19119263,9.466034
3187678123008,0.04309082,0.27212524,9.623138
3187678123013,0.116882324,0.341156,9.6493225
3187678123018,0.19781494,0.23880005,9.654083
3187678123023,0.09307861,0.13168335,9.601715
3187678123028,0.11212158,-0.015899658,9.775482
3187678123033,0.06213379,-0.1611023,9.713593
3187678123038,0.005004883,-0.27297974,9.692169
3187678123043,-0.033081055,-0.3086853,9.658844
3187678123048,-0.025939941,-0.268219,9.63266
3187678123053,0.0026245117,-0.15634155,9.470795
3187678123058,0.024047852,-0.07778931,9.31131
3187678123063,0.0026245117,0.04837036,9.273224
3187678123068,0.04309082,0.16500854,9.277985
3187678123073,-0.011657715,0.2102356,9.363678
3187678123078,-0.0211792,0.25784302,9.358917
3187678123083,-0.10925293,0.16500854,9.349396
3187678123087,-0.18304443,0.1435852,9.430328
3187678123093,-0.29492188,7.6293945E-4,9.463654
3187678123098,-0.2020874,-0.075408936,9.31369
3187678123103,-0.10925293,-0.058746338,9.368439
3187678123108,-0.061645508,-0.06588745,9.544586
3187678123113,-0.0211792,-0.058746338,9.682648
3187678123118,0.074035645,-0.03970337,9.57077
3187678123122,0.17401123,-0.0016174316,9.57077
3187678123128,0.19067383,0.015045166,9.623138
3187678123133,0.15496826,-0.030181885,9.623138
3187678123138,0.13830566,-0.053985596,9.556488
3187678123143,0.059753418,-0.10635376,9.516022
3187678123148,2.4414063E-4,-0.10635376,9.5850525
3187678123152,-0.035461426,-0.10159302,9.511261
3187678123157,-0.15209961,-0.053985596,9.451752
3187678123162,-0.15447998,-0.008758545,9.496979
3187678123167,-0.11401367,0.057891846,9.508881
3187678123173,-0.13543701,0.100738525,9.420807
3187678123177,-0.08544922,0.1435852,9.366058
3187678123183,-0.052124023,0.1769104,9.37796
3187678123187,-0.04260254,0.16738892,9.451752
3187678123193,-0.018798828,0.08883667,9.5017395
3187678123197,0.009765625,-0.01828003,9.406525
3187678123202,-0.018798828,-0.075408936,9.513641
3187678123207,0.12402344,-0.073028564,10.482452
3187678123212,0.21209717,-0.22775269,12.243927
3187678123217,-0.23303223,-0.10873413,6.797638
3187678123222,-0.33776855,-0.023040771,4.874298
3187678123228,0.119262695,-0.075408936,9.682648
3187678123232,0.26922607,-0.027801514,11.377472
3187678123237,0.23828125,-0.051605225,11.865448
3187678123242,0.22875977,0.060272217,11.072784
3187678123247,0.0859375,0.12454224,10.215851
3187678123252,-0.11639404,0.24594116,7.990204
3187678123257,-0.23779297,0.13882446,7.3641663
3187678123263,-0.24493408,0.098358154,8.48056
3187678123268,-0.08306885,-0.04446411,10.237274
3187678123272,-0.078308105,-0.09207153,10.582428
3187678123277,-0.040222168,-0.15158081,10.320587
3187678123282,-0.11639404,-0.08969116,9.366058
3187678123287,-0.13067627,-0.06350708,8.659088
3187678123292,0.07165527,-0.053985596,9.939728
3187678123297,-0.028320313,-0.073028564,9.144684
3187678123302,0.095458984,0.06503296,9.2708435
3187678123307,0.08831787,-0.21347046,10.158722
3187678123312,-0.23779297,-0.89901733,11.132294
3187678123317,-0.79241943,-4.348175,9.785004
3187678123322,-0.88049316,-4.4267273,9.411285
3187678123327,-0.30682373,-3.9839783,8.818573
3187678123332,0.75006104,0.65060425,8.128265
3187678123337,0.43347168,0.26498413,13.912567
3187678123342,0.47631836,-1.3703308,12.381989
3187678123347,-0.08782959,-3.122284,8.263947
3187678123352,-0.15209961,-4.8647156,6.9856873
3187678123356,-0.27825928,-4.731415,6.9666443
3187678123362,-0.99713135,-4.1910706,7.104706
3187678123366,-1.9873657,-4.102997,6.5191345
3187678123372,-2.2158813,-3.693573,6.1335144
3187678123376,-1.8754883,-2.7557068,7.402252
3187678123381,-1.0352173,-1.1894226,8.235382
3187678123387,-0.2687378,-0.6895447,8.730499
3187678123392,7.293701,6.787201,19.38028
3187678123396,-0.7305298,-5.6097717,-6.9252014
3187678123402,0.24304199,-5.990631,-8.986603
3187678123406,1.3570557,-4.2291565,-0.44107056
3187678123412,0.50964355,-3.7221375,6.200165
3187678123417,2.0616455,-1.4822083,9.608856
3187678123422,2.9257202,-1.4369812,9.7612
3187678123427,2.4734497,-2.3391418,9.930206
3187678123431,1.8045654,-3.238922,11.248932
3187678123436,1.0047607,-3.1246643,12.065399
3187678123441,0.35968018,-3.6269226,11.572662
3187678123447,0.35491943,-3.6435852,10.670502
3187678123451,0.50250244,-3.0342102,10.4253235
3187678123456,0.5881958,-2.417694,10.320587
3187678123462,0.18353271,-2.3700867,9.95401
3187678123467,-0.14257813,-2.2296448,9.8802185
3187678123471,-0.513916,-1.7321472,9.199432
3187678123477,-1.0709229,-1.4203186,9.31369
3187678123482,-1.0637817,-0.9656677,10.363434
3187678123486,-0.4329834,-0.858551,9.937347
3187678123491,0.42633057,-0.4729309,10.222992
3187678123496,0.37872314,-0.2515564,10.675262
3187678123501,0.45965576,-0.5895691,9.37796
3187678123506,0.6976929,-0.8442688,8.882843
3187678123511,0.7286377,-0.8109436,9.849274
3187678123516,0.47631836,-1.0489807,10.08017
3187678123521,0.60009766,-0.84664917,9.982574
3187678123526,0.40252686,-0.9013977,10.068268
3187678123531,0.26208496,-1.3132019,9.063751
3187678123536,0.15734863,-1.4107971,9.63028
3187678123541,0.19067383,-1.4798279,10.368195
3187678123546,0.16210938,-1.7583313,10.1944275
3187678123551,0.24066162,-2.058258,10.218231
3187678123556,0.37634277,-2.493866,10.449127
3187678123561,0.4406128,-3.0508728,9.201813
3187678123566,0.1763916,-3.1603699,9.692169
3187678123571,0.095458984,-2.7533264,10.170624
3187678123576,-0.27111816,-2.853302,9.982574
3187678123581,-0.39489746,-2.879486,9.877838
3187678123586,-0.87335205,-2.8033142,10.087311
3187678123590,0.27160645,-4.938507,8.537689
3187678123596,1.3546753,-7.4355164,6.5500793
3187678123601,0.71673584,-6.3572083,7.311798
3187678123606,0.8666992,-6.8666077,7.168976
3187678123611,0.70721436,-6.933258,6.926178
3187678123616,0.6929321,-7.111786,6.623871
3187678123621,0.60723877,-7.187958,6.381073
3187678123626,0.6286621,-7.425995,5.907379
3187678123630,0.5739136,-7.4759827,5.6645813
3187678123636,0.5548706,-7.6497498,5.3979797
3187678123641,0.6143799,-7.8520813,5.045685
3187678123646,0.6191406,-8.023468,4.981415
3187678123650,0.6691284,-8.152008,4.655304
3187678123656,0.68341064,-8.221039,4.2149353
3187678123661,0.67388916,-8.399567,3.9031067
3187678123666,0.67626953,-8.525726,3.4722595
3187678123671,0.6119995,-8.540009,3.0723572
3187678123675,0.6524658,-8.587616,2.7914734
3187678123680,0.5643921,-8.947052,2.7962341
3187678123686,0.35968018,-8.9565735,2.1844788
3187678123690,0.45965576,-8.7066345,1.9154968
3187678123696,0.5810547,-8.939911,1.1704407
3187678123701,0.4144287,-8.709015,1.1704407
3187678123705,0.47631836,-8.80661,0.6991272
3187678123710,0.4144287,-8.861359,0.24209595
3187678123716,0.3168335,-8.99942,-0.24111938
3187678123720,0.1763916,-12.117706,-0.7029114
3187678123724,-0.08544922,-11.444061,-0.7481384
3187678123731,0.13830566,-11.189362,-1.6526794
3187678123735,-0.14971924,-8.406708,-1.7574158
3187678123740,0.15496826,-8.156769,-2.2882385
3187678123745,0.22399902,-8.313873,-2.5786438
3187678123750,0.51678467,-8.311493,-2.9142761
3187678123756,0.71673584,-8.22818,-3.2737122
3187678123760,0.8357544,-8.16391,-3.766449
3187678123765,0.8762207,-8.216278,-4.1354065
3187678123770,0.87145996,-8.142487,-4.3615417
3187678123775,0.8428955,-8.021088,-4.5900574
3187678123780,0.75720215,-7.883026,-4.7257385
3187678123786,0.74768066,-7.90921,-4.6352844
3187678123790,0.8428955,-7.740204,-5.0661316
3187678123795,1.1999512,-7.259369,-5.6112366
3187678123800,1.2642212,-6.8523254,-6.3372498
3187678123805,1.2166138,-6.5452576,-6.806183
3187678123811,1.0714111,-6.483368,-6.929962
3187678123815,0.9595337,-6.226288,-7.256073
3187678123820,0.8500366,-5.6145325,-7.7535706
3187678123825,0.5715332,-5.1860657,-8.184418
3187678123830,0.45965576,-5.014679,-8.282013
3187678123835,0.6310425,-5.438385,-7.9844666
3187678123840,0.6477051,-5.0765686,-8.272491
3187678123845,0.56915283,-4.5576477,-8.6319275
3187678123850,0.6715088,-4.4291077,-8.822357
3187678123855,0.74768066,-5.0837097,-8.681915
3187678123860,0.13830566,-4.155365,-9.138947
3187678123865,0.050231934,-4.007782,-9.174652
3187678123869,0.1359253,-3.7364197,-9.450775
3187678123875,0.28826904,-3.4222107,-9.579315
3187678123880,0.47155762,-3.2722473,-9.691193
3187678123884,0.42633057,-3.0246887,-9.762604
3187678123890,0.5215454,-2.6890564,-9.891144
3187678123895,0.6453247,-2.4057922,-10.031586
3187678123899,0.2263794,-1.9511414,-10.198212
3187678123905,0.097839355,-1.5202942,-10.517181
3187678123909,-0.10687256,-1.0275574,-10.486237
3187678123915,-0.19018555,-0.61099243,-10.750458
3187678123920,-0.14257813,-0.39437866,-10.481476
3187678123924,0.005004883,-0.07778931,-10.63858
3187678123930,-0.08068848,0.0697937,-10.160126
3187678123935,-0.2354126,-0.12539673,-10.4410095
3187678123940,-0.07354736,-0.39437866,-10.495758
3187678123945,-0.18066406,-0.42770386,-11.109894
3187678123950,-0.36395264,-0.41818237,-10.352936
3187678123955,-0.037841797,-1.0275574,-10.455292
3187678123959,0.2597046,-1.2536926,-10.70047
3187678123965,1.4379883,-2.3486633,-9.955414
3187678123969,2.0735474,-0.5157776,-7.2655945
3187678123974,0.5858154,-0.034942627,-6.7252502
3187678123979,0.65008545,-1.3013,-10.386261
3187678123985,0.32635498,-1.2822571,-10.686188
3187678123989,0.852417,-1.486969,-10.3767395
3187678123994,1.0952148,-1.7273865,-10.774261
3187678123999,0.7214966,-1.2227478,-9.838776
3187678124005,0.788147,-1.736908,-9.665009
3187678124009,0.5739136,-1.5036316,-9.753082
3187678124014,0.2097168,-1.7583313,-9.4721985
3187678124020,-0.13543701,-1.5845642,-11.097992
3187678124025,0.60723877,-1.1013489,-10.374359
3187678124029,-1.8493042,-1.5393372,-13.616425
3187678124035,-0.30444336,0.60061646,-9.707855
3187678124039,0.095458984,-0.4895935,-10.286285
3187678124044,0.42156982,-0.95614624,-9.617401
3187678124049,0.35491943,-1.0513611,-10.160126
3187678124055,0.14544678,-1.2608337,-9.714996
3187678124059,-0.22113037,-3.1817932,-10.857574
3187678124064,0.4072876,-2.5295715,-8.64621
3187678124069,0.4572754,-2.9699402,-10.3767395
3187678124075,0.5048828,-2.872345,-11.666901
3187678124079,0.7381592,-1.3108215,-9.586456
3187678124084,-0.17590332,-0.13491821,-10.402924
3187678124089,0.36920166,-0.037322998,-10.210114
3187678124094,0.35253906,-0.3015442,-10.053009
3187678124099,0.29541016,-0.29440308,-9.881622
3187678124104,0.37634277,0.012664795,-9.848297
3187678124109,0.5715332,0.32687378,-10.779022
3187678124114,1.4308472,0.9195862,-10.917084
3187678124119,-0.6472168,-1.4822083,-8.869965
3187678124123,-1.078064,0.18881226,-10.2934265
3187678124129,0.43585205,0.055511475,-10.138702
3187678124134,0.15258789,0.007904053,-10.053009
3187678124139,0.1359253,0.053131104,-9.843536
3187678124143,0.19067383,-0.008758545,-9.86496
3187678124149,0.17163086,-0.034942627,-9.836395
3187678124154,0.13354492,-0.046844482,-9.979218
3187678124159,0.2097168,-0.053985596,-10.010162
3187678124163,0.23352051,-0.025421143,-10.100616
3187678124169,0.18115234,-0.025421143,-10.205353
3187678124174,0.15258789,0.0055236816,-10.112518
3187678124179,0.15020752,0.02456665,-9.924469
3187678124183,0.14544678,-0.03970337,-9.983978
3187678124188,0.13830566,0.012664795,-9.9149475
3187678124194,0.1763916,0.029327393,-9.895905
3187678124199,0.19543457,-0.023040771,-9.988739
3187678124203,0.19781494,-0.030181885,-10.048248
3187678124209,0.16687012,-0.075408936,-10.107758
3187678124214,0.21447754,-0.011138916,-10.053009
3187678124219,0.18829346,0.02218628,-10.053009
3187678124224,0.20019531,-0.037322998,-9.967316
3187678124229,0.17401123,-0.053985596,-9.910187
3187678124233,0.17877197,-0.058746338,-9.924469
3187678124239,0.12402344,-0.037322998,-10.005402
3187678124243,0.16448975,-0.027801514,-10.12442
3187678124249,0.14544678,0.012664795,-10.024445
3187678124253,0.16448975,-0.006378174,-10.102997
3187678124258,0.19543457,0.010284424,-10.088715
3187678124263,0.15496826,-0.0039978027,-10.003021
3187678124268,0.18115234,-0.0016174316,-9.964935
3187678124273,0.159729,-0.032562256,-9.93161
3187678124278,0.17877197,-0.04446411,-9.907806
3187678124283,0.18829346,-0.023040771,-9.950653
3187678124289,0.20019531,0.019805908,-10.074432
3187678124293,0.15020752,-0.0206604,-10.107758
3187678124298,0.16925049,-0.011138916,-10.007782
3187678124303,0.1359253,0.010284424,-10.022064
3187678124308,0.16210938,-0.01828003,-9.948273
3187678124313,0.14782715,0.010284424,-9.93161
3187678124319,0.14544678,-0.01828003,-9.884003
3187678124324,0.16925049,-0.034942627,-10.010162
3187678124328,0.18353271,-0.07064819,-10.045868
3187678124334,0.20257568,-0.030181885,-10.048248
3187678124338,0.20733643,-0.01828003,-10.048248
3187678124343,0.16687012,-0.034942627,-10.041107
3187678124348,0.16448975,-0.01828003,-10.048248
3187678124353,0.16925049,0.017425537,-9.900665
3187678124358,0.15258789,-0.025421143,-9.874481
3187678124363,0.16448975,-0.025421143,-9.941132
3187678124368,0.16448975,-0.015899658,-10.003021
3187678124373,0.19067383,0.0031433105,-10.007782
3187678124378,0.18591309,-0.0016174316,-10.036346
3187678124383,0.15020752,-0.051605225,-10.031586
3187678124388,0.17401123,-0.03970337,-10.024445
3187678124393,0.1763916,-0.032562256,-9.974457
3187678124398,0.15020752,-0.037322998,-9.945892
3187678124403,0.1430664,-0.01828003,-9.957794
3187678124408,0.17401123,-0.027801514,-9.964935
3187678124413,0.12878418,-0.023040771,-10.050629
3187678124418,0.1430664,0.031707764,-10.026825
3187678124423,0.18115234,-0.01828003,-10.06015
3187678124428,0.17401123,-0.008758545,-9.9935
3187678124433,0.17163086,-0.008758545,-9.9935
3187678124438,0.18353271,0.007904053,-9.979218
3187678124442,0.20257568,-0.006378174,-10.022064
3187678124448,0.22875977,0.012664795,-10.031586
3187678124453,0.17401123,-0.0016174316,-10.019684
3187678124458,0.16210938,-0.0039978027,-9.9935
3187678124463,0.16448975,-0.0016174316,-10.088715
3187678124468,0.14782715,-0.0039978027,-10.012543
3187678124472,0.13116455,-0.006378174,-9.974457
3187678124478,0.16210938,-0.046844482,-9.948273
3187678124482,0.1763916,-0.046844482,-9.974457
3187678124488,0.14782715,-0.056365967,-9.986359
3187678124493,0.18353271,-0.01828003,-10.067291
3187678124498,0.20733643,-0.011138916,-10.043488
3187678124502,0.17163086,-0.053985596,-10.031586
3187678124508,0.16925049,0.02456665,-10.033966
3187678124513,0.18591309,0.007904053,-10.014923
3187678124517,0.1930542,-0.027801514,-10.055389
3187678124522,0.15258789,-0.015899658,-9.924469
3187678124528,0.17163086,-0.0016174316,-9.986359
3187678124533,0.16448975,-0.0016174316,-10.010162
3187678124538,0.17877197,0.007904053,-10.003021
3187678124542,0.14782715,-0.011138916,-10.072052
3187678124547,0.13830566,-0.03970337,-10.033966
3187678124553,0.20257568,-0.011138916,-10.014923
3187678124557,0.16210938,-0.04208374,-10.003021
3187678124563,0.16925049,-0.056365967,-9.936371
3187678124567,0.16687012,-0.006378174,-9.983978
3187678124572,0.17163086,-0.049224854,-9.969696
3187678124577,0.18353271,0.0055236816,-10.036346
3187678124582,0.1026001,-0.030181885,-10.031586
3187678124587,0.19781494,0.0055236816,-10.014923
3187678124592,0.21209717,-0.011138916,-9.981598
3187678124598,0.15020752,-0.025421143,-10.003021
3187678124602,0.19067383,-0.0039978027,-9.974457
3187678124607,0.18115234,-0.032562256,-10.010162
3187678124612,0.20495605,-0.011138916,-9.972076
3187678124617,0.14068604,-0.023040771,-10.026825
3187678124622,0.18353271,-0.023040771,-10.079193
3187678124628,0.1930542,-0.049224854,-9.99588
3187678124632,0.11450195,-0.008758545,-9.981598
3187678124637,0.19543457,0.007904053,-9.960175
3187678124642,0.17163086,-0.008758545,-9.967316
3187678124647,0.16210938,-0.03970337,-10.003021
3187678124652,0.18829346,-0.023040771,-10.007782
3187678124657,0.1763916,-0.0039978027,-10.029205
3187678124662,0.16448975,-0.0039978027,-9.986359
3187678124667,0.18115234,-0.056365967,-10.067291
3187678124672,0.1763916,-0.04446411,-10.036346
3187678124677,0.19067383,-0.0039978027,-10.048248
3187678124681,0.1763916,-0.008758545,-10.033966
3187678124687,0.16210938,7.6293945E-4,-10.036346
3187678124692,0.17163086,0.02218628,-9.957794
3187678124697,0.16448975,0.0031433105,-10.003021
3187678124702,0.116882324,0.02218628,-10.041107
3187678124707,0.17401123,-0.008758545,-10.043488
3187678124712,0.17163086,-0.025421143,-10.022064
3187678124717,0.15734863,-0.0206604,-10.010162
3187678124722,0.20495605,-0.011138916,-10.029205
3187678124727,0.15734863,-0.030181885,-9.969696
3187678124731,0.17401123,-0.025421143,-9.962555
3187678124737,0.14544678,-0.0016174316,-10.012543
3187678124742,0.15734863,-0.08493042,-10.019684
3187678124747,0.15258789,-0.011138916,-9.969696
3187678124752,0.17877197,-0.037322998,-9.986359
3187678124757,0.159729,-0.025421143,-10.026825
3187678124761,0.16210938,-0.015899658,-9.960175
3187678124767,0.16687012,-0.037322998,-9.962555
